Tweet,Hate_Speech,tokenized_text
awaasss beritanya saudara gerung susah mencari kosakatanya bocor memicing mata bibir monyong kesamping suara ky nhn kentut politik kotor zaman brt pulang ky nhn ngeden dungu,1,"['awaasss', 'beritanya', 'saudara', 'gerung', 'susah', 'mencari', 'kosakatanya', 'bocor', 'memicing', 'mata', 'bibir', 'monyong', 'kesamping', 'suara', 'ky', 'nhn', 'kentut', 'politik', 'kotor', 'zaman', 'brt', 'pulang', 'ky', 'nhn', 'ngeden', 'dungu']"
pinokio umur 3 tahunan 2019 ganti presiden,1,"['pinokio', 'umur', 'tahunan', 'ganti', 'presiden']"
cerita silat lae kho merah muda oh indonesia liang ie shen penulis cina,0,"['cerita', 'silat', 'lae', 'kho', 'merah', 'muda', 'oh', 'indonesia', 'liang', 'ie', 'shen', 'penulis', 'cina']"
provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota cebong mendeskripsikan kekalahan junjungannya for your information ahok pemilihan apapun kecamatan wakil etnis mayoritas,1,"['provokasi', 'mayat', 'politisasi', 'agama', 'penyebab', 'kekalahan', 'pilihan', 'kepala', 'daerah', 'daerah', 'khusus', 'ibukota', 'cebong', 'mendeskripsikan', 'kekalahan', 'junjungannya', 'for', 'your', 'information', 'ahok', 'pemilihan', 'apapun', 'kecamatan', 'wakil', 'etnis', 'mayoritas']"
gue nete,0,"['gue', 'nete']"
wkwk bani lowo,1,"['wkwk', 'bani', 'lowo']"
takabur lahir penguasa rakyat ulama cendikia iblis makhluk alim amp beribadah beratus ratus dilaknat hasud takaburnya ahli ilmu filsafat failosof mari demo sendi,0,"['takabur', 'lahir', 'penguasa', 'rakyat', 'ulama', 'cendikia', 'iblis', 'makhluk', 'alim', 'amp', 'beribadah', 'beratus', 'ratus', 'dilaknat', 'hasud', 'takaburnya', 'ahli', 'ilmu', 'filsafat', 'failosof', 'mari', 'demo', 'sendi']"
a orang suka konser konser boros,0,"['orang', 'suka', 'konser', 'konser', 'boros']"
makan racun ulama hukum rokok mubah,0,"['makan', 'racun', 'ulama', 'hukum', 'rokok', 'mubah']"
susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus khofifah emil nomor,0,"['susilo', 'bambang', 'yudhoyono', 'presiden', 'ri', 'khofifah', 'emil', 'masyarakat', 'no', 'bagus', 'khofifah', 'emil', 'nomor']"
kali penggemar korea pop mengomong teman teman idol gue banci homo,1,"['kali', 'penggemar', 'korea', 'pop', 'mengomong', 'teman', 'teman', 'idol', 'gue', 'banci', 'homo']"
suka video uniform resource locator kisah perseteruan haji bolot amp malih tongtong,0,"['suka', 'video', 'uniform', 'resource', 'locator', 'kisah', 'perseteruan', 'haji', 'bolot', 'amp', 'malih', 'tongtong']"
budaya kafir bersungguh islam diindahkan,0,"['budaya', 'kafir', 'bersungguh', 'islam', 'diindahkan']"
hem hem diam bisu coba rumput bergoyang,0,"['hem', 'hem', 'diam', 'bisu', 'coba', 'rumput', 'bergoyang']"
setan membisikkan was was kepadamu mintalah perlindungan allah qs al araf 200 fussilat 36,0,"['setan', 'membisikkan', 'was', 'was', 'kepadamu', 'mintalah', 'perlindungan', 'allah', 'qs', 'al', 'araf', 'fussilat']"
ateis sibuk agama orang,0,"['ateis', 'sibuk', 'agama', 'orang']"
lengserkan jokowi bangsat,1,"['lengserkan', 'jokowi', 'bangsat']"
selamat kartini 2019 ganti presiden 2019 presiden,0,"['selamat', 'kartini', 'ganti', 'presiden', 'presiden']"
iya cocot,1,"['iya', 'cocot']"
budaya indonesia,0,"['budaya', 'indonesia']"
mengajarkan salat a orang asing memecah belah islam,0,"['mengajarkan', 'salat', 'orang', 'asing', 'memecah', 'belah', 'islam']"
x berbicara bangkai,1,"['berbicara', 'bangkai']"
memercayai negara dijajah ranah pembubaran sistem sistem beraja negara menjadikan negara republik komunis negara negara penjaja,0,"['memercayai', 'negara', 'dijajah', 'ranah', 'pembubaran', 'sistem', 'sistem', 'beraja', 'negara', 'menjadikan', 'negara', 'republik', 'komunis', 'negara', 'negara', 'penjaja']"
menikmati kebijakan diusulkan partai komunis indonesia iya,1,"['menikmati', 'kebijakan', 'diusulkan', 'partai', 'komunis', 'indonesia', 'iya']"
seumpama orang cina usir paksa indonesia,1,"['seumpama', 'orang', 'cina', 'usir', 'paksa', 'indonesia']"
bunda ngentot yuk,0,"['bunda', 'ngentot', 'yuk']"
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing kebo ohannya keliru tutup akun,0,"['karno', 'anti', 'asing', 'beliau', 'jawa', 'coba', 'deh', 'adakan', 'konsensus', 'jawa', 'anti', 'asing', 'pro', 'asing', 'kebo', 'ohannya', 'keliru', 'tutup', 'akun']"
proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,1,"['proyek', 'korupsi', 'rezim', 'susilo', 'bambang', 'yudhoyono', 'uniform', 'resource', 'locator']"
wajar lihat tingkah petinggi negeri suka mencampur bahas indonesia bahas asing kali bicara,0,"['wajar', 'lihat', 'tingkah', 'petinggi', 'negeri', 'suka', 'mencampur', 'bahas', 'indonesia', 'bahas', 'asing', 'kali', 'bicara']"
ab pribadi senang berkompetisi positif,0,"['ab', 'pribadi', 'senang', 'berkompetisi', 'positif']"
kitab suci agama bilang om mendadak kalap,1,"['kitab', 'suci', 'agama', 'bilang', 'om', 'mendadak', 'kalap']"
suka menutup mata ditutup tertutup gara gara sipit,0,"['suka', 'menutup', 'mata', 'ditutup', 'tertutup', 'gara', 'gara', 'sipit']"
muslim menistakan kitab suci alquran an alquran an suku detik makna faktualnya umat islam makna tersirat fiksi,0,"['muslim', 'menistakan', 'kitab', 'suci', 'alquran', 'an', 'alquran', 'an', 'suku', 'detik', 'makna', 'faktualnya', 'umat', 'islam', 'makna', 'tersirat', 'fiksi']"
eh kasar kampang,1,"['eh', 'kasar', 'kampang']"
bentar gue rilis album the onta si wkwk,0,"['bentar', 'gue', 'rilis', 'album', 'the', 'onta', 'si', 'wkwk']"
cebong bang,1,"['cebong', 'bang']"
najis banget gue mentwit barusan he,0,"['najis', 'banget', 'gue', 'mentwit', 'barusan', 'he']"
transgender anjing uniform resource locator,1,"['transgender', 'anjing', 'uniform', 'resource', 'locator']"
awas bintitan mengintip titit kucing,0,"['awas', 'bintitan', 'mengintip', 'titit', 'kucing']"
bawel bawa perasaan bolot bodor wkwk ya deh,0,"['bawel', 'bawa', 'perasaan', 'bolot', 'bodor', 'wkwk', 'ya', 'deh']"
menyarankan bacot maling ayat langsung to the point orang sepaham teriaki kafir sesat liberal pemuja dukun bla blaaa hatimu puas deh,1,"['menyarankan', 'bacot', 'maling', 'ayat', 'langsung', 'to', 'the', 'point', 'orang', 'sepaham', 'teriaki', 'kafir', 'sesat', 'liberal', 'pemuja', 'dukun', 'bla', 'blaaa', 'hatimu', 'puas', 'deh']"
salah target ahok agenda utama lengserkan jokowi,1,"['salah', 'target', 'ahok', 'agenda', 'utama', 'lengserkan', 'jokowi']"
kena tagar kepanasan banget 2019 ganti presiden,1,"['kena', 'tagar', 'kepanasan', 'banget', 'ganti', 'presiden']"
maju duit goyang kaki pape duit nak maju kat bodoh uniform resource locator,0,"['maju', 'duit', 'goyang', 'kaki', 'pape', 'duit', 'nak', 'maju', 'kat', 'bodoh', 'uniform', 'resource', 'locator']"
huria kristen batak protestan berdiri pecahnya kristen katolik zaman penjajahan belanda namanya kristen protestan kristen katolik perpecahan berdirilah huria kristen batak protestan kali tarutung k,0,"['huria', 'kristen', 'batak', 'protestan', 'berdiri', 'pecahnya', 'kristen', 'katolik', 'zaman', 'penjajahan', 'belanda', 'namanya', 'kristen', 'protestan', 'kristen', 'katolik', 'perpecahan', 'berdirilah', 'huria', 'kristen', 'batak', 'protestan', 'kali', 'tarutung']"
baca biar pintar jepang amerika cina utang tau,0,"['baca', 'biar', 'pintar', 'jepang', 'amerika', 'cina', 'utang', 'tau']"
prabowo kalah menyebut bantuan jokowi pencitraan ratapan pilu,1,"['prabowo', 'kalah', 'menyebut', 'bantuan', 'jokowi', 'pencitraan', 'ratapan', 'pilu']"
takut azan iblis,0,"['takut', 'azan', 'iblis']"
goblok bani cebong tukang tipu penjilat penguasa ketahuan gerakan dibayar pakai nasi bungkus propaganda nasi bungkus gagal,1,"['goblok', 'bani', 'cebong', 'tukang', 'tipu', 'penjilat', 'penguasa', 'ketahuan', 'gerakan', 'dibayar', 'pakai', 'nasi', 'bungkus', 'propaganda', 'nasi', 'bungkus', 'gagal']"
cebong sewot,1,"['cebong', 'sewot']"
2 gerakan menekankan kerja keras total tingkatkan potensi bangsa,0,"['gerakan', 'menekankan', 'kerja', 'keras', 'total', 'tingkatkan', 'potensi', 'bangsa']"
gubernur djarot mayoritas partai politik dewan perwakilan rakyat daerah pendukung ahok djarot payah ya uniform resource locator,1,"['gubernur', 'djarot', 'mayoritas', 'partai', 'politik', 'dewan', 'perwakilan', 'rakyat', 'daerah', 'pendukung', 'ahok', 'djarot', 'payah', 'ya', 'uniform', 'resource', 'locator']"
rezim rusak memperbaiki sistemnya sibuk cari cari kesalahan ketemu komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang engah selesai organisasi orangnya,0,"['rezim', 'rusak', 'memperbaiki', 'sistemnya', 'sibuk', 'cari', 'cari', 'kesalahan', 'ketemu', 'komisi', 'pemberantasan', 'korupsi', 'alatnya', 'besok', 'pemerintah', 'berganti', 'berulang', 'engah', 'selesai', 'organisasi', 'orangnya']"
orang orang menuding antek asing asing sesungguhnya bertepuk tangan,0,"['orang', 'orang', 'menuding', 'antek', 'asing', 'asing', 'sesungguhnya', 'bertepuk', 'tangan']"
anti asing,0,"['anti', 'asing']"
selamat semoga berkiprah tingkat nasional,0,"['selamat', 'semoga', 'berkiprah', 'tingkat', 'nasional']"
asyik menang sih ulama,0,"['asyik', 'menang', 'sih', 'ulama']"
ketahui diketapang tenaga kerja asing asing perusahaan pt who tambang bauksit viral pemilihan presiden kerja era gubernur cornelis wakilnya,0,"['ketahui', 'diketapang', 'tenaga', 'kerja', 'asing', 'asing', 'perusahaan', 'pt', 'who', 'tambang', 'bauksit', 'viral', 'pemilihan', 'presiden', 'kerja', 'era', 'gubernur', 'cornelis', 'wakilnya']"
anak pecun hobi zina haha,1,"['anak', 'pecun', 'hobi', 'zina', 'haha']"
bom surat berharga syariah negara,0,"['bom', 'surat', 'berharga', 'syariah', 'negara']"
istirahat presiden momentum saksi telinga mata rapat pembentukan pacitan 2003,0,"['istirahat', 'presiden', 'momentum', 'saksi', 'telinga', 'mata', 'rapat', 'pembentukan', 'pacitan']"
1979 house select committee on assassination hsca menemukan cacat investigasi fbi warren commission hsca menyimpulkan tembakan konspirasi dalamnya,0,"['house', 'select', 'committee', 'on', 'assassination', 'hsca', 'menemukan', 'cacat', 'investigasi', 'fbi', 'warren', 'commission', 'hsca', 'menyimpulkan', 'tembakan', 'konspirasi', 'dalamnya']"
genap 1 17 april 2018 digelar hajatan pemilihan presiden acara tahunan negara indonesia memilih presiden semoga senantiasa berjalan aman lancar amin,0,"['genap', 'april', 'digelar', 'hajatan', 'pemilihan', 'presiden', 'acara', 'tahunan', 'negara', 'indonesia', 'memilih', 'presiden', 'semoga', 'senantiasa', 'berjalan', 'aman', 'lancar', 'amin']"
ian pantat,0,"['ian', 'pantat']"
mengakuinya orang pintar beragama memangnya agama memperbolehkan menista menghujat orang orang bodoh orang maaf lahir idiot hargai ciptaan tuhan iblis pintar licik,0,"['mengakuinya', 'orang', 'pintar', 'beragama', 'memangnya', 'agama', 'memperbolehkan', 'menista', 'menghujat', 'orang', 'orang', 'bodoh', 'orang', 'maaf', 'lahir', 'idiot', 'hargai', 'ciptaan', 'tuhan', 'iblis', 'pintar', 'licik']"
pendaftaran calon presiden pemilihan presiden 2019 dibuka agustus 2018 normatif politikus partai demokrasi indonesia perjuangan paham 2019 ganti presiden,1,"['pendaftaran', 'calon', 'presiden', 'pemilihan', 'presiden', 'dibuka', 'agustus', 'normatif', 'politikus', 'partai', 'demokrasi', 'indonesia', 'perjuangan', 'paham', 'ganti', 'presiden']"
sih tolol tau pemerintah rezim komunis bobrok koruptor pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator,1,"['sih', 'tolol', 'tau', 'pemerintah', 'rezim', 'komunis', 'bobrok', 'koruptor', 'pimpinan', 'sidang', 'dewan', 'perwakilan', 'rakyat', 'paya', 'cebong', 'uniform', 'resource', 'locator']"
gue mantan mantan gue sedih kepikiran tidur lo gue anak berengsek laki laki,0,"['gue', 'mantan', 'mantan', 'gue', 'sedih', 'kepikiran', 'tidur', 'lo', 'gue', 'anak', 'berengsek', 'laki', 'laki']"
cina perusak bangsa usir setuju,1,"['cina', 'perusak', 'bangsa', 'usir', 'setuju']"
2019 ganti presiden konstitusional hak rakyat woiii nih plonga plongo kelakuan otoriter,1,"['ganti', 'presiden', 'konstitusional', 'hak', 'rakyat', 'woiii', 'nih', 'plonga', 'plongo', 'kelakuan', 'otoriter']"
mari wujudkan pilihan kepala daerah kota bengkulu 2018 aman damai coki adem86 98heru,0,"['mari', 'wujudkan', 'pilihan', 'kepala', 'daerah', 'kota', 'bengkulu', 'aman', 'damai', 'coki', 'adem', 'heru']"
serius presiden jokowi islam nusantara kristen nusantara buddha hindu kong hucu nusantara,0,"['serius', 'presiden', 'jokowi', 'islam', 'nusantara', 'kristen', 'nusantara', 'buddha', 'hindu', 'kong', 'hucu', 'nusantara']"
kebersamaan pernyataan moeldoko bukti istana takut kebangkitan umat islam,0,"['kebersamaan', 'pernyataan', 'moeldoko', 'bukti', 'istana', 'takut', 'kebangkitan', 'umat', 'islam']"
cowok jago drasex ngentot adik luvian,0,"['cowok', 'jago', 'drasex', 'ngentot', 'adik', 'luvian']"
kroasia kafir tau belajar kafir lupa kapling sorga,1,"['kroasia', 'kafir', 'tau', 'belajar', 'kafir', 'lupa', 'kapling', 'sorga']"
nya menteri soeharto homo,1,"['nya', 'menteri', 'soeharto', 'homo']"
tau culun takut orang berubah perlahan lahan buruk,0,"['tau', 'culun', 'takut', 'orang', 'berubah', 'perlahan', 'lahan', 'buruk']"
perang salib kerajaan afrika terbagi babilonia pemeluk kristen tobaco pemeluk islam,0,"['perang', 'salib', 'kerajaan', 'afrika', 'terbagi', 'babilonia', 'pemeluk', 'kristen', 'tobaco', 'pemeluk', 'islam']"
kejar setoran bangsat rupiah turun,1,"['kejar', 'setoran', 'bangsat', 'rupiah', 'turun']"
semoga tindak pelaporan penista agama adek armando langsung ketua front pembela islam kh shobri lubis badan reserse kriminal markas kepolisian republik indonesia gambir jakarta pusat selasa 10 4 13 00 indonesia barat perhaps,1,"['semoga', 'tindak', 'pelaporan', 'penista', 'agama', 'adek', 'armando', 'langsung', 'ketua', 'front', 'pembela', 'islam', 'kh', 'shobri', 'lubis', 'badan', 'reserse', 'kriminal', 'markas', 'kepolisian', 'republik', 'indonesia', 'gambir', 'jakarta', 'pusat', 'selasa', 'indonesia', 'barat', 'perhaps']"
bangkai hajar,1,"['bangkai', 'hajar']"
onta mati kebanyakan minum,1,"['onta', 'mati', 'kebanyakan', 'minum']"
uniform resource locator ahok tng was was hidupnya,1,"['uniform', 'resource', 'locator', 'ahok', 'tng', 'was', 'was', 'hidupnya']"
sul teng ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden 2019 jokowi ganti,1,"['sul', 'teng', 'ekses', 'akibat', 'tersandera', 'hutang', 'cina', 'ganti', 'presiden', 'presiden', 'jokowi', 'ganti']"
6 pride yunani keangkuhan harga kesombongan dikenal sebutan hubris vanity harga mengubah manusia sombong kesombongan manusia terkutuk dimata tuhan manusia mencintai,0,"['pride', 'yunani', 'keangkuhan', 'harga', 'kesombongan', 'dikenal', 'sebutan', 'hubris', 'vanity', 'harga', 'mengubah', 'manusia', 'sombong', 'kesombongan', 'manusia', 'terkutuk', 'dimata', 'tuhan', 'manusia', 'mencintai']"
tujuan hati logikaku hati tenang logika hatiku sedih ku cari wasiat beliau tinggalkan terasing asing mata manusia duhai,0,"['tujuan', 'hati', 'logikaku', 'hati', 'tenang', 'logika', 'hatiku', 'sedih', 'ku', 'cari', 'wasiat', 'beliau', 'tinggalkan', 'terasing', 'asing', 'mata', 'manusia', 'duhai']"
bertaji nya komisi pemberantasan korupsi era era komitmen pemberantasan korupsi surat pemberitahuan tahunan era susilo bambang yudhoyono,1,"['bertaji', 'nya', 'komisi', 'pemberantasan', 'korupsi', 'era', 'era', 'komitmen', 'pemberantasan', 'korupsi', 'surat', 'pemberitahuan', 'tahunan', 'era', 'susilo', 'bambang', 'yudhoyono']"
video tenaga kerja asing malaysia mengutip pernyataan,0,"['video', 'tenaga', 'kerja', 'asing', 'malaysia', 'mengutip', 'pernyataan']"
ppp buru buru tolak wacana pilihan kepala daerah dewan perwakilan rakyat daerah,0,"['ppp', 'buru', 'buru', 'tolak', 'wacana', 'pilihan', 'kepala', 'daerah', 'dewan', 'perwakilan', 'rakyat', 'daerah']"
random pagi pagi menyamper meja kerja pakai bedak sih biar mukanya bersih istri butek ku pakai air wudhu ku kristen,0,"['random', 'pagi', 'pagi', 'menyamper', 'meja', 'kerja', 'pakai', 'bedak', 'sih', 'biar', 'mukanya', 'bersih', 'istri', 'butek', 'ku', 'pakai', 'air', 'wudhu', 'ku', 'kristen']"
gue kampret,0,"['gue', 'kampret']"
