,tweet,Hate_Speech,translated_tweet,tokenized_text
28,bolivia you fucking retard everybody saw that video already we,1,bolivia -benar retard orang video,"['bolivia', 'benar', 'retard', 'orang', 'video']"
29,go follow this retard,1,ikuti retard,"['ikuti', 'retard']"
30,i got banned once because i called designer a retard,1,Saya dilarang menyebut desainer retard,"['saya', 'dilarang', 'menyebut', 'desainer', 'retard']"
31,still surprised this retard became president,1,Masih terkejut retard presiden,"['masih', 'terkejut', 'retard', 'presiden']"
32,he's right lets kick every alright retard in a balls got nothing to do with anything free shot,1,mari tendang retard bola hubungannya tembakan gratis,"['mari', 'tendang', 'retard', 'bola', 'hubungannya', 'tembakan', 'gratis']"
33,you females look retarded when you keep taking back the same night who clearly does want you,1,Anda wanita terbelakang Anda mengambil malam Anda,"['anda', 'wanita', 'terbelakang', 'anda', 'mengambil', 'malam', 'anda']"
34,['i so set dealing with little cunt develop a fucking pair cunt'],0,Saya berurusan vagina mengembangkan vagina pasangan sialan,"['saya', 'berurusan', 'vagina', 'mengembangkan', 'vagina', 'pasangan', 'sialan']"
35,i'll donate a fiver if you call  a tory hating cunt standuptocancer ,1,Saya menyumbangkan fiver Anda menelepon tory membenci vagina standuptocancer,"['saya', 'menyumbangkan', 'fiver', 'anda', 'menelepon', 'tory', 'membenci', 'vagina', 'standuptocancer']"
36,if it comes out of his mouth it either retarded or has aids,1,Jika mulutnya terbelakang memiliki AIDS,"['jika', 'mulutnya', 'terbelakang', 'memiliki', 'aids']"
37,i want out of this shithole country,1,Saya negara shithole,"['saya', 'negara', 'shithole']"
38,['i scarcely saw a dyke that look like trygve halvden lie boogie woogie she be kinda fine though'],0,Saya seekor tanggul Trygve Halvden Lie boogie woogie,"['saya', 'seekor', 'tanggul', 'trygve', 'halvden', 'lie', 'boogie', 'woogie']"
39,i cant tell if bonnie here is actually retarded or if shes just pretending,1,Saya Bonnie -benar terbelakang berpura -pura,"['saya', 'bonnie', 'benar', 'terbelakang', 'berpura', 'pura']"
40,you actively enjoy being a dim witted mongoloid,1,Anda aktif menikmati mongoloid redup,"['anda', 'aktif', 'menikmati', 'mongoloid', 'redup']"
41,feed the twat to the lions,1,makan twat singa,"['makan', 'twat', 'singa']"
42,all this dyke was trona bag me at palmar while i put my groceries in the car but she ain't help wit the heavy a,0,Semua tanggul Trona Bag Me at Palmar menaruh bahan makanan mobil membantu berat a,"['semua', 'tanggul', 'trona', 'bag', 'me', 'at', 'palmar', 'menaruh', 'bahan', 'makanan', 'mobil', 'membantu', 'berat']"
43,thing thing thong toolbox oh i got my couture money,0,Thing Thing Thing Thong Toolbox oh uang couture,"['thing', 'thing', 'thing', 'thong', 'toolbox', 'oh', 'uang', 'couture']"
44,interestingly vanes berley mostly tweets vanes berley like most narcissistic conspiracy theories,0,Menariknya Vanes Berley kebanyakan tweet vanes Berley kebanyakan teori konspirasi narsisistik,"['menariknya', 'vanes', 'berley', 'kebanyakan', 'tweet', 'vanes', 'berley', 'kebanyakan', 'teori', 'konspirasi', 'narsisistik']"
45,  tattie howker though aw thattaker patter is absolutely tragic,0,Tattie Howker Aw Thattaker Patter -benar tragis,"['tattie', 'howker', 'aw', 'thattaker', 'patter', 'benar', 'tragis']"
46,credit this cunt is tricking us to come back and strap vests on herself and probably kids to and blow us up f,1,kredit vagina menipu mengikat rompi anak -anak meledakkan f,"['kredit', 'vagina', 'menipu', 'mengikat', 'rompi', 'anak', 'anak', 'meledakkan']"
47,“go back to your country beaner lmaoo” ,1,“ Kembali Country Beaner LMAOO ”,"['kembali', 'country', 'beaner', 'lmaoo']"
48,u wanna go u fucking cunt,1,pergi u sialan,"['pergi', 'sialan']"
49,no illegal aliens should be voting in our elections,1,Tidak alien ilegal suara pemilihan,"['tidak', 'alien', 'ilegal', 'suara', 'pemilihan']"
50,mom bought me a faggot,1,Ibu membelikanku homo,"['ibu', 'membelikanku', 'homo']"
51,"[""forget me drug has enough illegal immigrant we don ' t need a saran pain in the ass too sorry""]",0,Lupakan obat memiliki imigran ilegal disukai Saran,"['lupakan', 'obat', 'memiliki', 'imigran', 'ilegal', 'disukai', 'saran']"
52,shut nigger,1,Tutup negro,"['tutup', 'negro']"
53,"[""it ' s ok to exist bloodless""]",0,Tidak -apa darah,"['tidak', 'apa', 'darah']"
54,sos nearly called a woman a cunt while i was driving with mum in the car but can i say i still shaking with rage at this cunt,1,Sos menyebut wanita vagina mengemudi mobil dapatkah gemetar vagina,"['sos', 'menyebut', 'wanita', 'vagina', 'mengemudi', 'mobil', 'dapatkah', 'gemetar', 'vagina']"
55,say chink gook chainman thing thong up allowed to,1,Katakanlah Chain Gook Chainman Thing Thong Up Diizinkan,"['katakanlah', 'chain', 'gook', 'chainman', 'thing', 'thong', 'up', 'diizinkan']"
56,"[""' humanist pinch ' doctors demand refugee be moved off naurusbs tidings via""]",0,Dokter Humanist Pinch menuntut pengungsi dipindahkan naurusbs berita,"['dokter', 'humanist', 'pinch', 'menuntut', 'pengungsi', 'dipindahkan', 'naurusbs', 'berita']"
57,look at this retarded fuckstick ,0,Lihatlah fuckstick terbelakang,"['lihatlah', 'fuckstick', 'terbelakang']"
58,she retarded your honor,1,Dia memperlambat Yang Mulia,"['dia', 'memperlambat', 'yang', 'mulia']"
59,no lie just said hasn't everybody seen the twat shot,0,bohong orang tembakan twat,"['bohong', 'orang', 'tembakan', 'twat']"
60,as a member of the negro delegation we are hurt and sickened by this loss,0,Sebagai anggota Delegasi Negro terluka sakit kehilangan,"['sebagai', 'anggota', 'delegasi', 'negro', 'terluka', 'sakit', 'kehilangan']"
61,['what the fuck does spic and span intend and how comprise it nauseating'],0,What the Fuck Do Spic Span Niat Dan Bagaimana Komprisinya Mual,"['what', 'the', 'fuck', 'do', 'spic', 'span', 'niat', 'dan', 'bagaimana', 'komprisinya', 'mual']"
62, you're a low iq ghanese enjoy your shithole country built and kept by you geniuses,1,Anda Ghana IQ rendah menikmati negara shithole Anda dibangun disimpan Anda jenius,"['anda', 'ghana', 'iq', 'rendah', 'menikmati', 'negara', 'shithole', 'anda', 'dibangun', 'disimpan', 'anda', 'jenius']"
63,i typing too slow now i seem like a retard,1,Saya mengetik lambat retard,"['saya', 'mengetik', 'lambat', 'retard']"
64,let a scorpion bag me cut i freaking retarded,0,Biarkan tas kalajengking potong terbelakang,"['biarkan', 'tas', 'kalajengking', 'potong', 'terbelakang']"
65,hetero guy faggot bet you wanna suck my dick name,0,hetero guy fagot taruhan Anda mengisap nama penis,"['hetero', 'guy', 'fagot', 'taruhan', 'anda', 'mengisap', 'nama', 'penis']"
66,nyala said side night calling n i told him i was its she just retarded,1,Nyala Side Night Calling n Saya terbelakang,"['nyala', 'side', 'night', 'calling', 'saya', 'terbelakang']"
67,   and leftist fanatics did tooantifa is another terrorist organization,0,Dan fanatik kiri Tyantifa organisasi teroris,"['dan', 'fanatik', 'kiri', 'tyantifa', 'organisasi', 'teroris']"
68,['trend aid to the shithole countries might smarten them up'],0,Bantuan tren negara -negara shithole pintar,"['bantuan', 'tren', 'negara', 'negara', 'shithole', 'pintar']"
69,defining countries as shithole encouraging reporters to be slapped around groping women because of your celebri ,0,Negara -negara menentukan shithole mendorong wartawan ditampar wanita meraba -raba celebri Anda,"['negara', 'negara', 'menentukan', 'shithole', 'mendorong', 'wartawan', 'ditampar', 'wanita', 'meraba', 'raba', 'celebri', 'anda']"
70,you retarded i did know they make people this stupid might want to kill yourself before you drop the collect,1,Anda terbelakang orang bodoh bunuh Anda menjatuhkan koleksi,"['anda', 'terbelakang', 'orang', 'bodoh', 'bunuh', 'anda', 'menjatuhkan', 'koleksi']"
71,   i lose to mongoloid playstyles smh gonna trash you with m2 again today,1,Aku kalah Mongoloid PlayStyles Smh membuangmu M2,"['aku', 'kalah', 'mongoloid', 'playstyles', 'smh', 'membuangmu']"
72,went passed that fancy dress shop at outside n there actual fucking bouncers outside ya cunt imagine being kb,0,pergi toko pakaian mewah penjaga sialan ya cunt bayangkan kb,"['pergi', 'toko', 'pakaian', 'mewah', 'penjaga', 'sialan', 'ya', 'cunt', 'bayangkan', 'kb']"
73,i see in brown has handed your are on a plate annas you were ya plastic man twat,1,Saya warna coklat menyerahkan Anda piring annas Anda ya pria plastik twat,"['saya', 'warna', 'coklat', 'menyerahkan', 'anda', 'piring', 'annas', 'anda', 'ya', 'pria', 'plastik', 'twat']"
74,mf smoking that retard pack by the o,1,MF merokok retard pack o,"['mf', 'merokok', 'retard', 'pack']"
75,['if you white and wanna dress as a spic for hallowed break down ahead i can give two dump veridical pelicans bequeath just laugh'],0,Jika Anda putih berpakaian spic for Hallowed Break Down Depan pelikan veridikal tertawa,"['jika', 'anda', 'putih', 'berpakaian', 'spic', 'for', 'hallowed', 'break', 'down', 'depan', 'pelikan', 'veridikal', 'tertawa']"
76,maybe the applies are right you are a field nigger,1,Mungkin berlaku Anda negro lapangan,"['mungkin', 'berlaku', 'anda', 'negro', 'lapangan']"
77,dirty new,1,Kotor Baru,"['kotor', 'baru']"
78,next job is to cut the welfare to all illegal aliens,1,Pekerjaan memotong kesejahteraan alien ilegal,"['pekerjaan', 'memotong', 'kesejahteraan', 'alien', 'ilegal']"
79,  lmaoooo the armo spic,1,lmaoooo the armo spic,"['lmaoooo', 'the', 'armo', 'spic']"
80,it men created the out of africa theory marcs garvey was an agent funded and schooled by it so called news,0,pria menciptakan teori augara Marcs Garvey agen didanai dididik berita,"['pria', 'menciptakan', 'teori', 'augara', 'marcs', 'garvey', 'agen', 'didanai', 'dididik', 'berita']"
81,leftists stop sending me gift of some movie reference i don't get of some twat shrugging their shoulders why don't,1,Kaum kiri berhenti mengirimi hadiah referensi film dapatkan twat mengangkat bahu,"['kaum', 'kiri', 'berhenti', 'mengirimi', 'hadiah', 'referensi', 'film', 'dapatkan', 'twat', 'mengangkat', 'bahu']"
82,who is thing thong is he a ploy for the avian market,1,Siapakah taktik pasar unggas,"['siapakah', 'taktik', 'pasar', 'unggas']"
83,he look like he said some faggot shit like at,1,fagot,['fagot']
84,100 looks like it would tell you to go back to your country,1,100 memberitahu Anda negara Anda,"['memberitahu', 'anda', 'negara', 'anda']"
85,as i read some of these tweets i can help to think of this great quote from this great man in lie bitches retarded,0,Ketika membaca tweet membantu memikirkan kutipan hebat pria hebat kebohongan terbelakang,"['ketika', 'membaca', 'tweet', 'membantu', 'memikirkan', 'kutipan', 'hebat', 'pria', 'hebat', 'kebohongan', 'terbelakang']"
86,first class money cunt me when i think back to decisions have made in the past,1,Uang kelas macet memikirkan keputusan,"['uang', 'kelas', 'macet', 'memikirkan', 'keputusan']"
87,nah he a dyke,1,seekor tanggul,"['seekor', 'tanggul']"
88,fuck that orange twat,0,bercinta oranye twat,"['bercinta', 'oranye', 'twat']"
89,['ism fucking mad that i made my life choices sorry and ism now a fat cretin world health organization is socially clumsy when let the cat out of the bag to unit'],0,ism fucking mad pilihan hidup maaf organisasi kesehatan dunia kretin gemuk kikuk sosial membiarkan kucing tas unit,"['ism', 'fucking', 'mad', 'pilihan', 'hidup', 'maaf', 'organisasi', 'kesehatan', 'dunia', 'kretin', 'gemuk', 'kikuk', 'sosial', 'membiarkan', 'kucing', 'tas', 'unit']"
90,['if you still playing fortunate your a pouf'],0,Jika Anda bermain beruntung Anda pouf,"['jika', 'anda', 'bermain', 'beruntung', 'anda', 'pouf']"
91,help my nigger help a nigger help anger,1,Bantu negro membantu negro membantu kemarahan,"['bantu', 'negro', 'membantu', 'negro', 'membantu', 'kemarahan']"
92,why did kim kardashian just tweet pics of boobies with no areola and a twat with no clit on my timeline,0,Mengapa Kim Kardashian tweet foto boobies areola twat klitoris timeline,"['mengapa', 'kim', 'kardashian', 'tweet', 'foto', 'boobies', 'areola', 'twat', 'klitoris', 'timeline']"
93,struggling whether to feel sorry for americans for electing a retard to lead the countrynnfor all you sensitive ,1,Berjuang kasihan orang Amerika memilih retard memimpin negara Anda sensitif,"['berjuang', 'kasihan', 'orang', 'amerika', 'memilih', 'retard', 'memimpin', 'negara', 'anda', 'sensitif']"
94,having lived the is growing up as a skater using derogatory terms like fag and faggot accurately or inaccurate,0,hidup tumbuh skater istilah menghina fag fagot akurat akurat,"['hidup', 'tumbuh', 'skater', 'istilah', 'menghina', 'fag', 'fagot', 'akurat', 'akurat']"
95,don count on it californians are pretty retarded ,1,Jangan mengandalkannya orang California terbelakang,"['jangan', 'mengandalkannya', 'orang', 'california', 'terbelakang']"
96,literally just heard a co worker cuss out her boyfriend on the phone calling himretard and a fat fuck like tak ,1,Secara harfiah mendengar pekerja rekan kerja menumpahkan pacarnya telepon memanggilnya bercinta gendut,"['secara', 'harfiah', 'mendengar', 'pekerja', 'rekan', 'kerja', 'menumpahkan', 'pacarnya', 'telepon', 'memanggilnya', 'bercinta', 'gendut']"
97,it is indianarmy and not hinduforcesif hindus had forces kashmiripandit wouldn’t have been refugees amp… ,0,Ini Indianarmy orang Hinduforces umat Hindu memiliki kekuatan Kashmiripandit pengungsi amp ...,"['ini', 'indianarmy', 'orang', 'hinduforces', 'umat', 'hindu', 'memiliki', 'kekuatan', 'kashmiripandit', 'pengungsi', 'amp']"
98,sorry your question was too retarded for me to answer,1,Maaf Anda terbelakang,"['maaf', 'anda', 'terbelakang']"
99,moreen with a few snacks returns to the room to find everything spic and span including her clothes a,0,Lebih makanan ringan kamar menemukan spic rentang pakaiannya a,"['lebih', 'makanan', 'ringan', 'kamar', 'menemukan', 'spic', 'rentang', 'pakaiannya']"
100,if a teacher is quoting someone in a historical or literary context and that context uses the word prefer,0,Jika guru mengutip konteks historis sastra konteks disukai,"['jika', 'guru', 'mengutip', 'konteks', 'historis', 'sastra', 'konteks', 'disukai']"
101,['i just wanna tell dyke chirrup is the funniest'],0,Saya Dyke Chirrup lucu,"['saya', 'dyke', 'chirrup', 'lucu']"
102,['my nigger lion heart i wish well you god forward ever backwards ward never man maine say'],0,Hati Nigger Lion berharap Anda -baik Main Forward Ward Never Man Maine Say,"['hati', 'nigger', 'lion', 'berharap', 'anda', 'baik', 'main', 'forward', 'ward', 'never', 'man', 'maine', 'say']"
103,bantering a cunt,0,olok -olok vagina,"['olok', 'olok', 'vagina']"
104,"[""yeah but present if you therefore much as make eye contact with a feminacy she ' s gonna accuse you of rape""]",0,Ya hadir Anda kontak mata feminasi menuduh Anda pemerkosaan,"['ya', 'hadir', 'anda', 'kontak', 'mata', 'feminasi', 'menuduh', 'anda', 'pemerkosaan']"
105,anyone else on here just been harping as a retard this whole time hah right guys,0,orang mengomel retard hah guys,"['orang', 'mengomel', 'retard', 'hah', 'guys']"
106,did you know that being a complete fucking twat to people who work retail can take years off your life,0,Tahukah Anda twat lengkap orang -orang ritel mengambil hidup Anda,"['tahukah', 'anda', 'twat', 'lengkap', 'orang', 'orang', 'ritel', 'mengambil', 'hidup', 'anda']"
107,it took 18 innings and and a retard to cost me my sweep bet but somehow they got me worldseriesgame3,0,Butuh 18 inning retard taruhan sapuan WorldSeriesGame3,"['butuh', 'inning', 'retard', 'taruhan', 'sapuan', 'worldseriesgame']"
108,feminacy fake news,0,Berita palsu feminasi,"['berita', 'palsu', 'feminasi']"
109,of i roasted a thing thong girl now,0,memanggang gadis thong,"['memanggang', 'gadis', 'thong']"
110,what's a mongoloid,0,Apa Mongoloid,"['apa', 'mongoloid']"
111,['lobo fight like an actual retard'],0,Lobo Fight Seperti Retard,"['lobo', 'fight', 'seperti', 'retard']"
112,meanwhile the leftist globalist monsters are trying to blame this hate crime on trump too don't you know every,0,Sementara monster global kiri berusaha menyalahkan kejahatan rasial Trump Anda,"['sementara', 'monster', 'global', 'kiri', 'berusaha', 'menyalahkan', 'kejahatan', 'rasial', 'trump', 'anda']"
113,as always we pray for world peace and for those trying to resolve the issues surrounding migrants and refugees,0,Seperti berdoa perdamaian dunia mencoba menyelesaikan migran pengungsi,"['seperti', 'berdoa', 'perdamaian', 'dunia', 'mencoba', 'menyelesaikan', 'migran', 'pengungsi']"
114,us you a mongol,0,Kami Anda Mongol,"['kami', 'anda', 'mongol']"
115,['might scarcely convinced mum to elevate to non bonk finally cunt'],0,menaikkan non bonk cunt,"['menaikkan', 'non', 'bonk', 'cunt']"
116,woman is adult human female is the terms version of it's okay to be white,0,Wanita wanita dewasa versi istilah -apa putih,"['wanita', 'wanita', 'dewasa', 'versi', 'istilah', 'apa', 'putih']"
117,  i am a south african living in my native country a shithole according to trump so i don't lik ,0,Saya orang Afrika Selatan tinggal negara shithole Trump suka,"['saya', 'orang', 'afrika', 'selatan', 'tinggal', 'negara', 'shithole', 'trump', 'suka']"
118,just imagine a president without simple academic qualifications see this country is a shithole no lies,1,Bayangkan presiden kualifikasi akademik sederhana lihat negara kebohongan kebohongan,"['bayangkan', 'presiden', 'kualifikasi', 'akademik', 'sederhana', 'lihat', 'negara', 'kebohongan', 'kebohongan']"
119,african migrants crossing the mediterranean now head to spain after italy’s blockade  via ,0,Migran Afrika melintasi Mediterania Spanyol blokade Italia,"['migran', 'afrika', 'melintasi', 'mediterania', 'spanyol', 'blokade', 'italia']"
120,old guy bangs young twat,1,pria tua poni muda twat,"['pria', 'tua', 'poni', 'muda', 'twat']"
121,what happens when a white person checks him and calls him a spiclike who or what will he turn to ,0,Apa orang kulit putih memeriksanya memanggilnya tuju,"['apa', 'orang', 'kulit', 'putih', 'memeriksanya', 'memanggilnya', 'tuju']"
122,  take your ucl l and stop worrying about things hazijafikaati ooh washed up veteran ooh ching chong fucken,1,Ambil UCL L Anda berhentilah mengkhawatirkan -hal hazijafikaati ooh dicuci veteran ooh ching chong fucken,"['ambil', 'ucl', 'anda', 'berhentilah', 'mengkhawatirkan', 'hal', 'hazijafikaati', 'ooh', 'dicuci', 'veteran', 'ooh', 'ching', 'chong', 'fucken']"
123,we encountered the words “ching chong” amp “massieren” presumably coz we were a bunch of asians these from non asia… ,1,Kami menemukan -kata Ching Chong amp Massieren sekelompok orang Asia non Asia ...,"['kami', 'menemukan', 'kata', 'ching', 'chong', 'amp', 'massieren', 'sekelompok', 'orang', 'asia', 'non', 'asia']"
124,['equal you due stupid or retarded mill vanilla mafia say make big drive me popping stop trona make up me scarcely stop'],0,Equal you bodoh terbelakang mafia vanilla mafia bilang drive berhenti trona berhenti,"['equal', 'you', 'bodoh', 'terbelakang', 'mafia', 'vanilla', 'mafia', 'bilang', 'drive', 'berhenti', 'trona', 'berhenti']"
125, because with out the illegal aliens voting they demsloose power,1,alien ilegal suara kehilangan kekuatan,"['alien', 'ilegal', 'suara', 'kehilangan', 'kekuatan']"
126,     guess what ragheadtrump is your president ,1,Coba tebak RagHeadTrump presiden Anda,"['coba', 'tebak', 'ragheadtrump', 'presiden', 'anda']"
127,all exams passed at collage now thank fuck never have to go into that money place again cheeky pay rise just before,1,Semua ujian lulus perguruan terima kasih pergi uang -lagi kenaikan gaji,"['semua', 'ujian', 'lulus', 'perguruan', 'terima', 'kasih', 'pergi', 'uang', 'lagi', 'kenaikan', 'gaji']"
128,i just stared at the fucking door to target like a fucking retard because i thought it was automatic,0,Aku menatap pintu sialan target retard sialan kupikir otomatis,"['aku', 'menatap', 'pintu', 'sialan', 'target', 'retard', 'sialan', 'kupikir', 'otomatis']"
129,['my nigger lion meat i wish you god forward ever back ward never humankind me state'],0,Daging Singa Nigger berharap Anda maju Never Humankind Me State,"['daging', 'singa', 'nigger', 'berharap', 'anda', 'maju', 'never', 'humankind', 'me', 'state']"
130,biggest talking bout is valley queen is an awful presenter kris commons is a soup take,0,Pertarungan pembicaraan terbesar Valley Queen presenter mengerikan Kris Commons Soup Take,"['pertarungan', 'pembicaraan', 'terbesar', 'valley', 'queen', 'presenter', 'mengerikan', 'kris', 'commons', 'soup', 'take']"
131, i love you sexyyyy,0,mencintaimu seksiyyy,"['mencintaimu', 'seksiyyy']"
132,the dodgers manager is an absolute retard,1,Manajer Dodgers penghambat mutlak,"['manajer', 'dodgers', 'penghambat', 'mutlak']"
133,remember to drinkgamble responsibly otherwise you end up like this twaturl,1,Ingatlah minum bertanggung Anda twaturl,"['ingatlah', 'minum', 'bertanggung', 'anda', 'twaturl']"
134,i predicted that joke before you even made it get some good material you fucking mongoloid,1,Saya meramalkan lelucon Anda membuatnya materi Anda sialan mongoloid,"['saya', 'meramalkan', 'lelucon', 'anda', 'membuatnya', 'materi', 'anda', 'sialan', 'mongoloid']"
135,not true they care about illegal aliens and museums anyone but america,1,peduli alien ilegal museum kecuali Amerika,"['peduli', 'alien', 'ilegal', 'museum', 'kecuali', 'amerika']"
136,don't touch that scarf that's pal smith twat,1,Jangan menyentuh syal sobat twat,"['jangan', 'menyentuh', 'syal', 'sobat', 'twat']"
137,['dell be a better we than hop he only has a mongoloid qi holding back his production'],0,Dell Be Better We Than Hop Dia memiliki Qi Mongoloid menahan produksinya,"['dell', 'be', 'better', 'we', 'than', 'hop', 'dia', 'memiliki', 'qi', 'mongoloid', 'menahan', 'produksinya']"
138,clearly a drunk twat but hearing one of the kids distraught saying not as their dad punches him,0,Jelas twat mabuk mendengar salah anak -anak bingung ayah meninju,"['jelas', 'twat', 'mabuk', 'mendengar', 'salah', 'anak', 'anak', 'bingung', 'ayah', 'meninju']"
139, harry i’m moving to london tuesday 25th so you are welcome to go back to your country around that day or a few… ,1,Harry Saya pindah London Selasa -25 Anda dipersilakan negara Anda ...,"['harry', 'saya', 'pindah', 'london', 'selasa', 'anda', 'dipersilakan', 'negara', 'anda']"
140,happy birthday negro,0,Selamat ulang Negro,"['selamat', 'ulang', 'negro']"
141,u look like a retard,1,retard,['retard']
142,some mongoloid ordered 9 dozen donuts by 8 am then called back to see if we sell craft coffee,1,Beberapa mongoloid memesan 9 lusin donat jam 8 pagi menelepon menjual kopi kerajinan,"['beberapa', 'mongoloid', 'memesan', 'lusin', 'donat', 'jam', 'pagi', 'menelepon', 'menjual', 'kopi', 'kerajinan']"
143, when youn lead chants of 'lock her up'n demonize refugees from 'shithole countries'n mock the ,1,Ketika nyanyian pimpinan mengunci mendemonstrasikan pengungsi negara -negara shithole,"['ketika', 'nyanyian', 'pimpinan', 'mengunci', 'pengungsi', 'negara', 'negara', 'shithole']"
144,nights be getting beat up by their dukes dyke girlfriend saying she got too much testosterone,1,Malam dipukuli pacar Dukes Dyke testosteron,"['malam', 'dipukuli', 'pacar', 'dukes', 'dyke', 'testosteron']"
145,['i a snatch wen i ready lucy in the sky with diamonds test me'],0,I A Snatch Wen I Ready Lucy in the Sky With Diamonds Test Me,"['snatch', 'wen', 'ready', 'lucy', 'in', 'the', 'sky', 'with', 'diamonds', 'test', 'me']"
146,i got a avian bitch she be like thing thong,1,Aku burung jalang thong thong,"['aku', 'burung', 'jalang', 'thong', 'thong']"
147, america is a shithole country with no morals,0,Amerika negara shithole moral,"['amerika', 'negara', 'shithole', 'moral']"
148,i mean this in the most platonic dyke way but,0,Maksud tanggul platonis,"['maksud', 'tanggul', 'platonis']"
149,why are illegal aliens allowed to have mobile phones,1,Mengapa alien ilegal diizinkan memiliki ponsel,"['mengapa', 'alien', 'ilegal', 'diizinkan', 'memiliki', 'ponsel']"
