,tweet,Hate_Speech
115, of course the feminazi's will roll one out after the other what frauds,1
118,spic poach,1
120,a feminist just called me a fat twat,1
125,omg tea using these terms can hurt and offend and if you used any of these sorry and idc but you retardedurl,0
126,remember ism a negro my open mind got a skin doorway,0
127,all exams passed at collage now thank fuck never have to go into that money place again cheeky pay rise just before,1
128,i love you negro,1
132,keep in mind ism a negro my open mind got a screen door impressive carter,1
133,     you're skipping over the shithole cities ndetro ,1
138,the bone always going full retard,1
139,if you want to prove to all who know you just how big a cunt you can shoot amp kill a sleeping lion that do,0
142,unreal crawling into bed after a 13 hour nightshirt and then next doors yappy little cunt off a dog wakes up,0
143,etesvous d’accord avec bernard kouchner qui dit que « nous devrions prendre plus de migrants » ,0
144,think a lie i corrected you what are you on about your so fucking retarded i losing brain cells,1
155,so jonathan chait is retarded ,1
157,ism 26 retard,0
158,hurry up faggot i wanna see it,1
159,when a white says “wassup nigger” because you made a video calling yourself a nigger ,1
160,cause its utter is as is the lying feminacy ford,0
161,yeah dodge the wager of course shutter and i have a gig up and down retard go get some bruises from your dad,1
162,a front group for abetting the flocking of illegal aliens to our country good riddance,0
165,yep that's the quid pro duo for peters supporting more refugees,0
170,ism sick of seeing your face on my news feed you cunt,1
173,you weren't calling me a faggot when you were clapping these cheeks night,1
174,charlie sloth is a money cunt,1
176,say tag the right venison spic,1
177,d d d d din want this bloke on site the chainman lot d d d,0
178,me important tangent about chocolate pretzels being retard foodnnyou guys nnme horse foreskinnnyou guys ,0
179,how many of us could keep such a spic n span kitchen if we lived at 8000 feet without electricity tap water and,0
180,and she from africa ya know that place wherecountries are located ,1
182,you faggot,0
183,you calling people insensitive that the best tweet of the day daft cunt,0
185,going as pippi longstocking for a halloween event tonight bc shes a ginger who wears dyke attire so i fit the criteria,0
190,what a soulless fucking twat,1
195,dtmag border patrol agents discover nearly 200 illegal immigrants in remote arizona desert ,0
203,this series is even better knowing macho likes to use faggot as an insult,1
205,this is the sort of thing that happens in a shithole country ,1
206,for your information you absolute twat the reason saws told me i deserve to get abashed was u,1
207,famous mainstream now nigger,1
212,my baby told me i was beautiful with my bare face and nigger twist,1
213,america will go into official bankruptcy quicker due to the many illegal aliens,0
214,look at this retarded fuckstick ,0
218,ism forced to deal with retarded people everyday,1
219,it better than being a faggot,1
222,just another mongoloid on twitter,0
224,white gringxs be likeis you sayingoffice is bad any better than me calling you a spic ,0
225, it's decided by race so indians carry caucasoid australoid and mongoloid races and so do the intermedi ,1
231,here ur question faggotfrom another faggotthere isnt a fucking question here faggot ,0
235,nil i have never laughed so hard at a random thing thong video depicting unfortunate events wait for it,0
238, lol speak for your own hazaramongol people who have nothing to do with ethnic afghans nor genetical ,1
239,no coats go back to where you come from,1
243,yale study on undocumented immigrantstruth,0
245,do it nigger,1
246,if you use the word retarded in a derogatory sense you a piece of shit lot,1
247,   and leftist fanatics did tooantifa is another terrorist organization,0
251,are you a chainman or a wetback looks like a combo to me,1
252,have robots literally lost the game with his retarded bullpen moves,0
253,lmaooo if one more kefe says i look like this cunt i gonna lose my shit i swear hahahahahaha ,0
256,a retarded looking disturbed lunaticnthrow him into the ocean with a brick tied to his ankle nnfood for the fis ,1
257,i was ready to accept you but fate is just a fucking cunt and he made it this way,0
259,you clearly don't seem to listen to your wife at allnn'she's a great listener take that back you twat',0
261,you support sanctuary cities for criminal illegal aliens you have no credibility as a governor or merit,1
262,do you invite someone in your home without knowing who they are letting illegal aliens votes this the only,0
264,cleanedaired apartment spicspan almost done with still doing laundry,0
268,justin trudeau is promising to continue to welcome syrian refugees ,1
270,we are not the greatest country in the world we have become the shithole it breaks my heart every day vote ,0
272,follow and between to win nothing you faggot,1
274, i love you huhuhu miss u ching chong,0
282,are we forgetting the group of money stoke fans waiting outside for when we left the ground you,0
283,it's okay to be white,0
285,i really can put my level of intelligence next to a semiretired at this point,1
286,if your tweeting asking what time is it you are an awful cunt jussayin,1
287,my friend's boyfriend just asked me if thing thong was a real word you mishit it's a stereotype to,0
289,why did kim kardashian just tweet pics of boobies with no areola and a twat with no clit on my timeline,0
290,retarded,1
292,  back to v fox let's debate what u call foulest shithole in the world n and btw i ,1
293,u r ugly and retarded u stupid piece of shit flaming faggot kill up self,1
296,breaking news dyke drought increases rapidly as the day goes by because of this suspicious entity read more below,1
298,the trailer for the curse of la corona called me a wetback and a spic not watching that trash,1
302,i hate people i hate how they think i hate how they act everybody is fucking retarded to me,1
304,prove it negro,1
305,oh this old cunt,0
306,suspicion is upstairs old chainman neighbor feigning mental illness since 3 years ago slamming his gate going,1
307,it's been a good weekweekend i feel good cuz my kitchen is spic and span,0
309,sabarimala dialogues amp debates on female menstruation is shocking to us the mongoloid people how can a person thi ,0
310,still surprised this retard became president,1
312,that's what you get for eating pickles you nigger,0
318, because ninjashyper aka toxic man says i dont like seeing ching chong bing bong in my chat,1
326,your sons a fucking money cunt ya mind,1
327,humor of a female and or retard same same i get you tho,0
329,real spic move,1
330,have asked you if you secure the border and protect us citizens over illegal aliens you never ans,1
331, come on now captain you now i repping you i just retarded right now supportthetroops ,1
338,pretty sure the r in phone or stands for retarded,1
341,look at all the feminacy i don't believe it with out listening to a single word your pathetic hope,1
342,i really am an unsociable twat nowadays,0
343,i wonder if i ever stop being such a money cunt,1
346,big boy carl has blocked me after i saidnterf is a derogatory term the same as faggot is neither should be usednh ,1
347,        in your dream faceless trollwhat a retard u r ,1
348, there is no james bountrogiannis just a faggot,0
349,stop faggot,1
352,some cunt smashed my phone out my hand last night,1
353,what a fucking faggot,1
356,he ratted only thing worse then a faggot,0
358,ya no different than my cracker daddyncalled that cunt a pedophile nhe said you're over 18ndie slow ya fuckin toe rags,1
362,shit that i should have realized earlier the phrase it's okay to be white is the fisherprice version of the 14 words,1
363,this is the same guy who says slaves were immigrants,0
367,governor brown vetoed senator ritard lava's bill so 174 that would have allowed illegal aliens to serve,0
370,it takes guts to stand up for your rights and not appear retarded,1
374,it gonna take some time to create this thread but i got theahead from wifey to annihilate this cunt amp tag e ,0
376,high pitched thing thong,1
378,this made me so angry what a cunt,1
381, camerroonians don't do celebritiessome people surely want to shout oh but they don't wanna look retarded,1
382,hey american followers your country is a shithole in the political sense go vote i high off pain killers,1
388,also that you a retard to think otherwise,1
389,you a faggot my lady will never fuck you,1
397,bombings shootings a president with the mental capacity of a flea the united states is clearly the real shithole country,1
398,how to answer your phone faggot fuck you,1
401,aye no offense to faggots but i gotta call out a faggot,1
404,also getting medical advice from twitter is even more retarded than getting it from we'd,0
405,i can’t stand a meanspirited nigger,1
407,just cause you have money and connects does mean you not guilty trick ass bitch you just become a cunt who n,0
416,why wouldshould new chinese immigrants care about chinatown or strathcona,1
417,how fucking retarded do you have to be to think that it's of to flirt with guys who have girlfriends it doesn't mat,1
419,you retarder in the same special end class as flood,1
420,update the bucks are 60 and many macho is still a twat,1
421,om babe thank you,0
423, what country are these invaders about to turn into a dystopian shithole ,0
424,my nigger lion heart i wish you god forward ever back ward never man me say,0
426,is a faggot no cap,1
431,we have money humor,1
434,1 market is not a leftist she center right christian 2 how are you fee,0
443,fucking ahead cunts,1
446,  it almost mueller time shithole term you used referring to 3rd world countries,0
448,this spineless twat is criticizing other countries that keep mirgranthoardes out while woman are raped on the stre ,1
451,ism trying to be as politically correct as possible here mam you are fucking retarded,1
453,i am an ethnic estonia nationalist that follows the constitution you retard,1
455,  bts performs kpop songnantis why do people idolize this ching chong group they cant even un ,1
460,note to hollywoodfuck trumpdrumpf just makes you look retarded so does making career decisions based on p ,0
465,landon romano and gayshawnmendes battle it out for the title offaggot,1
470,he's right lets kick every alright retard in a balls got nothing to do with anything free shot,1
472,sigh finally this thing thong was everywhere in my to,1
473,that baby gonna pop out just as retarded as her night,0
475,tranquil pe mongol come,1
480,retard,1
484,amnesty for millions of illegal aliens,0
489,lobatan and waec can't reissue another one this country is indeed a shithole ,0
490,unreal tweeted by a ahead in disguise,0
491,if there were no shithole countries there would be no caravan from those countries,1
492,jess that also awful nah one i read was some felling ripping cunt being a dick have no love for,1
494,psst is a faggot,0
495,wow me out side girl or guy in my dyke gf ampamp enjoy your twitter and unforgettable bops ever happy,0
499,  lmao he deleted all his other tweets that wasrelated amprelated,0
500,you're posting statistics all the way back to 2013 and i can't see america getting more immigrants,0
504,i was gonna go to steered you mongoloid,1
508,lmfaoo say lyn luk like dyke,1
509,have binned tinder off fed up of money women matching then loosing their voices,1
511, photo id is not voter suppression it's quite a basic standard throughout the world unless usa is a shithole country,1
515,so wear one retard,1
522,i sometimes find it crazy how we just a tiny spic of dust out of the whole universe,1
526,tora is exactly the kind of autistic retard who would make a thinly veiled brag tweet about how many hits his webs,0
527,well they have a job their job is being an activist and an ally to immigrants and the lgbtq community,0
529,big sleepy twat,1
530,they want to raise taxes take guns let illegal aliens into the country and kill unborn children,0
531,cringe still stealing other peoples vernacular unoriginal faggot,1
534,if she doesn't stream men then she doesn't who asked for your opinion cunt,1
536,letting is a literal fucking retard the only people who follow him either hate every popular thing or just follow h,1
537,since when is a chainman white what have you been smoking,1
541,it time de vicar mongol,0
542,i escaped the has but got kidnapped by the mongol again none,0
544,follow back retard,1
548,i didn't say retard did i,0
549,oh no a leftist feminacy threatens not to vote for a republican just spiralling here but ism prep,0
550,are people still using ching chong as an insult to asians lmfao y'all look stupid,1
553,yeah what a faggot,1
554,lanie posted im single im a dyke god is good get ready for my shitposts hey lanie i hope u still have my notifs on ily,1
556, i wouldn't be because i'm a faggot i like dick is that so hardnyou are dancing around what i sa ,1
558,dirtiest chainman criminal lee seen long inciting racial hatred when his malaysia,1
560,old outdated i have to say retarded got mentality paranoid ideas brainwashed citizens if the america were vice,1
563,when a once relatively respected amp trusted country is turned into a total shithole we need a larger more populate ,0
565,i can't wait to boo the theme tune later lads it's what the big european nights are all about if you're mongy as fuck that is,0
566,true christian may be our retarded cousins but still in the family nevertheless,1
570,fucking hell some of the monsters on born fan to are frightening deaf something in the water up there inbred smoggy money wankers,1
572,steve is such a little cunt thehauntingofhillhouse,1
575, z facts of noneritreans disguised as eritrean refugees echo from coast to coast in z h of a europe… ,1
576,a reminder that kelly lowland can and did say faggot,0
577,english is a soup taker,0
580,laughing while clapping like retard seal that me,0
581,you a cunt,0
582,drunk testers retarded lot,0
587,this was called a defeater had thing thong yelled,1
588,darner's a twat orchestrated media stunt the warders are the australia,0
589,maybe it that jennies anti hacker did this they wouldn't be a fat bitter cunt,1
591,beautiful dyke,0
592,theaccent people associate is from dudley rest of black country the shithole of west midlands givi ,1
594,what's known about the pittsburghshooting is that the guy was an absolute racist twat that doesn't deserve the air ,1
595,are you retarded i was just with skim for to for the cash stooped,0
597,hits it like an arrow moved in the air another better from known even though an arrow goes straight the big money ugly cunt,0
599,  lmaoooo the armo spic,1
600,going full mongol,1
601,women who support sexual predators in power are the cuntmascots of our oppression,1
603,  listen you asiactic mongol eastern euro trash you wouldnnever say any of this to my fa ,1
604,devious dangerous narcissistic autocratic slimy little twat,0
605,if you tested me and i didn't text you back text me again my responses are on not nigger people time,0
612,i king mongoloid will do my best to put these monkeys to rest,1
615,the issue of refugees must be resolved 7 years ago by way of wise policies in countries such as libya syria yemen,0
623,i got a avian bitch she be like thing thong,1
628,i hate when people ask me to socialize like why are u so fucking rude have i ever asked you to stop breathing you faggot piece of shit,1
633, benitez is a useless cunt,1
635,    1st world shitholethis is what happens when the democratnaziparty i ,1
637,trump is famous for his insults shithole countries failing fake news evil democrats criminal immigran ,0
638,banter the codeword of the cunt,1
641,honesty though just imagine this image some faggot some dumb ass fuck talking up your girl or at least what you,1
643,spastic martial changing is count cercus hes a sad ahead poof,1
645,what the fuck is an okacamera what the fuck are you retarded,1
647,y'all see that new papa johns commercial they trona make you forgot about the founder saying nigger,1
649,was you one who wanted money mel morris to sell up suppose he the main man,1
650,ism good at being a faggot,1
651,can't the eu tighten up immigration lawsprevent immigration from shithole countries like the usa whilst they ha ,1
652,shush nigger,1
653,first class money cunt me when i think back to decisions have made in the past,1
654,i ate mine hah get it us thing thong,0
658,  then why come here to change america into the shithole country they are fleeing from may ,1
660,i love luna she the best seokjinnator and best minhyuknator and the superior sagittarius spic ,0
663,ah soothe black chainman we everywhere,1
664,well say faggot already then,0
666,did you see the ferocity of the flames you twat there is identification informing next of kin,0
667,no negro plus u know u negro one say,1
673,fyou dipshit atleast she apologizes isnt that enough for a low self esteem cunt like younnagain i'm sorry cat ,1
674,stick in your twat your dad is responsible for violence he promotes it so phony is daughter eat a bowl of dicks,1
676,you going to try and come for a faggot your get education will not be helpful i read all of you so quick it not funny,1
678,in the moviereal woman have curves ana represents the new ideas and beliefs that children of immigrants have bu… ,0
679,gabby i miss you too mongol japan ka,0
682,imagine being that much of a wet cunt you get offended by a cartoon character,0
685, the irony of trump calling other countriescountries never ceases to amuse me,0
686,who retarded ass do i have to kick,1
687,someone remove money judge from corrie he makes me wanna smash my telly up,0
689,   our country is now being run like zimbabwe or done other shithole african state,0
691,stellar outta cannot mongoloid,1
693,a country that have 68 parties and 68 presidential candidates vying for one office is that not a shithole country ,0
696,to all retarded political goonsplease do some research before doing fake propaganda people rejects you desperat ,1
697,as a member of the negro delegation we are hurt and sickened by this loss,0
698,i wanna kill em ahead style pour acid on them and shove razor wire up their ass that's what the,0
700,hate helping chines customers they diss me when i ask if they need help then coming talking thing thong to me when they need help,1
703,look at the scoreboard you goddamn retard know you probably did make it past nth grade but do the math,1
708, well theres only really 3 true races caucasoid white mongoloid asian and negroidblack were all ,1
709,oh nice a mob of angry feminacy and other democratic women they can't stand a decent conservative,1
714, matt your dad is a judgeyou are privileged you twat,1
715,did i marketbuy some lowcap trash like a retardnnyesnndid it feel goodnnyesnnwill i get rektnnyes,0
716,thing thing thong thong cookie cookie,1
717,come the fuck on nil what the fuck out us not looking too great right hand to knock into retardment,1
720,  vote for him because his family is beautiful no wonder we have become a shithole country do ,0
722,robots is a fucking retard rich hill was going good but instead of leaving him in there they take him out for not,0
723,good morning everyone both my parents are retarded and my brother is a nigger,0
728,day drags so much when you on a shift with money people home,0
731,good time to remember that when trump asked why we were accepting so many refugees fromcountries rich l ,0
733,a twat is gonna twat,1
736,i think the genuine consensus for today game is to fucking smash steven naismith twat in,1
737,hang the cunt and throw bricks while he slowly chokes to death,0
745,feminacy review check,0
746,if you donor either crazy or retarded and it a thin line that separates those so you could be both,0
749,dick van dyke yes just a thought i had,1
750,loving this part of my six year old life when she just quite can read perfectly can,0
756,yeah but nowadays if you so much as make eye contact with a feminacy she's gonna accuse you of rape,0
761,thing thong,0
762,hah thing thong over here is so butt hurt he needs some baby powder and his mom n,1
763,no word on the reviews from refugees,0
771,azerbaijan sucks i just want to get the hell out of this country and never come back to this shithole,0
772,to my studies n you are a huge cunt,1
773,my parents were immigrants as well from germany they went through the process to be here legally don't so,0
776,  they're all parasites who came from shithole countries and need to stay in their shithole countries,1
778,white people i am not your nigger you got that,1
784,floppy eared dog girls be like oh my ears are falling off and in a gay retarded cancer dog,1
786,hi i mike gunny and i a little twat with a mullet that has won shit,1
791,get cancer spic,0
793,,0
794,keep in mind i’m a negro so my open mind got a screen door lajshshsnnsnsndndnnxncnxnxnxnx nah birdman might’ve had a point,1
797,credit this cunt is tricking us to come back and strap vests on herself and probably kids to and blow us up f,1
799,bantering a cunt,0
800,sounds like ours is the shithole country ,1
804,this picture just called me ching chong and asked if i eat dogs lmfaoo ,1
805,you females look retarded when you keep taking back the same night who clearly does want you,1
808,he not dropped he poorly with an illness you money,0
811,can sebastian stan come to south africa specifically cape town in his greek attire it would be highly appreciated,1
813,like clockwork all the white liberals applaud their diplomatic magic negro your patience is why you,1
814,do you think orthodox spin is getting dull or veggie and chainman spinners are getting overrated,1
815,and i was almost going to not have  on today via sling another day in the life in this shithole country pgh,1
822,msmntrump is nazi and jew killer nthey have gone full retard,0
823,illegal organ harvesting is rampant in egypt and refugees are the main target africa egypt middlemost,1
825,i am really hot for cock i need this cock in my sissy faggot mouth and ass,0
827,no what's shameful is your mother raised a retard,1
831,just sign the sexy dreamy cunt already,1
835,wouldn't be surprised to find out its a and party they make movies with this kind of plot some ahead place,1
837,shut up faggot,1
845, evidence of shithole country land amp they are going to leave evidence in our sacred rivers lakes oc ,0
847,my boy out here child slave looking ass unfunny spic ass bearer ass ass titty sucking unfunny gook ass m,1
856,fire that gay bashing name cunt ruining the rule district you gun cunts,0
858,think about potato potato thing thong tomato,1
861,i wish this faggot would say some to anyone in my am they gonna be putting money in my books for the next few yea,0
862,what a fucking cunt,1
863,coming thru,0
866,every once in a while a star calls u a faggot,0
867,i think i need me a personal page on i too much ratchet retarded shit i can post,0
870,how do people listen to that korea shit its thing thong they don't even understand the lyrics plus they're overrated as don't me,0
872,dirty new,1
875,you are just mad thing thong you know chines are dirty cheaters but you need to defend your team,1
878,france has a bloody great migrant problem it is rapidly becoming the shithole of europe why would any other count ,1
881,wealthy cunt addressing the population reduced to penury after his master plan kicks in,0
886,if he's not as well a zealot of the left if he is found to be then he is a criminal a leftist and yes a domestic,1
889,just got called a faggot on call of duty life comes at you fast,0
895,this guy a fucking retard lmfao ,1
896,suspicion is upstairs old chainman neighbor feigning mental illness since 3 years ago slamming his g,1
898,pop stand with purple dyed hair in display came up to me today and pulled their eyes at me and yelled thing thong go back to your country,1
901,alien family amp i are real life retarded swear we be so funny,1
902,if a teacher is quoting someone in a historical or literary context and that context uses the word prefer,0
905, hahahahahaha wake up miggs ya fucking retard,1
906,if u set that lie camel toe out while pregnant i know that twat got a lie twang,0
907, australia is full of european post war refugees by this logic and perhaps yours they should all… ,1
915,if you ain know i been retarded way before i met all,0
921,what say you mongol mouth,1
928,her dyke sister is getting dragged in tar comments as she should be,1
929,i am a twat,0
937,my dad got called a spic at the train and i ready to fight the colonizer that said that,0
938,i spawned in dumbest you retarded,1
940,casuallyfantastic2001 realisticrecovery anyway abusive women are just as bad as abusive men shameful ,1
943,makuta has taught me to hate old men ism gonna kick the shit out of the next old fucker i see he's probably a cunt,1
945,as a kid i would've hated to have moved to a different part of the country but as an adult i can't wait to get away from the shithole,0
946,i wasn't i was talking about the fact that he got it in 2018 you retard my i 149 my parents once check my sanity b,1
948,every nigger is a star,0
950,probably the same reason it's okay to be white,0
956,oh wow i definitely did not know that i tried to fuck the same bitch that outed me happy tea time cunt,0
958,i love that tell her i admire her for what she's doing i do volunteer work for syria refugees and any,0
959,fuck that game it's gay and retarded,1
963, i don get offended by much i hispanic been called a spic called mexican even tho i cuban ,0
967,rats bring disease and must be eradicated,0
969,dell is a better we than hoping he just has a mongoloid qi holding back his production,0
971,lot who do u mean that thing thong guy the rich dude from china who suddenly comes up at the campus,1
973,boring twat you moss,0
978,you got nothing ahead,0
984,sam allardyce what a twat ,0
986,you're the spic that sent that message to my friends curious cat sure did and who on beat my ass your friend,1
994,never said you did dyke,1
999, hes a literal twat hey he tried to justify himself on twitter toonthis guy went to twitchcon to ,1
1000,could only go on in one of those shithole countries rightnyeah alabama but rikers is in the middle of the fina ,0
1004,am i retarded how did this make it past my brain censors,1
1005,celebrating entrepreneurship  last night prix inspiration ontario gala for entrepreneur immigrants… ,0
1009,not you daft lad your money mate,1
1012,also hooraying it's okay to be white promotes whitest supremacy,1
1015,lmfao it’s what they deserve you’re supposed to be a man toughen up nigger ,1
1022,shush mongol,1
1024,what do you expect from expired country like nigeria a shithole and fantastically corrupt one indeed biafra natio ,1
1026,put in the nigger,1
1027,trio accused of conspiring to get illegal aliens mi driver's licenses via,0
1036,mercpine9 you retard xd squiggybot,0
1037,you a spick fucking wetback,1
1038,i want out of this shithole country,1
1039, spot onchrisanything for a reaction suttonhe not quite a souptaker yet but g ,0
1041,kinda gutted i did get an hours extra sleep yes i know i in hong long at the moment yes i know i a greedy twat,0
1043,i just saw a dyke that look like lie boogie she was kinda fine though,0
1044,cops the nigger slave isn't worth a thousand lines of code,1
1047,bastards were the worst mass murderers ever you just too retard to know because whit,1
1049,did the twat really say this sadly it almost sounds like it might believably be his words but sure,1
1051,join us on our global journey of walking 1 million kilometers side by side with migrants and refugees,0
1053,  i am a south african living in my native country a shithole according to trump so i don't lik ,0
1055,  susan did i ask no so go back to where you come from oknand don forget to buy and stream mono while you at it,1
1058,of i thought i was a proper human being but ism actually a mongoloid,0
1061,john flower faggot weighs 700 pounds and lives in a college dorm refrigerator he doesn't own,1
1065,trump is a fucking mongoloid saying they should have had protection in a fucking synagoguenngo and take your fa ,1
1066,that one time i got called a ahead in leister 2,0
1067,  cameroun is a condemned shithole country ruled only by vegetables and intellectually defunct minds,0
1076,see what i mean about retarded conservative supporters to,0
1079,imagine given birth to this nigger,1
1080,attention the shithole countries are coming here and it won't be very nice,1
1081,thing thong long long,0
1082,dear thing thong long long's how do you expect me to react when you go because you rich man,1
1084,night you half retarded on god be in they caption they saloons and on the box of fruit loops i,1
1087,on with says refugees have never committed terrorism in the us how,0
1091,god you look like a faggot,1
1095,literally just got ding dong ditched most likely by some 12 year old faggot that cracking up right now in his take pal apparel,1
1096,eating sleep for dinner tonight nigger,0
1103,its okay u don't have to comfort me give accepted that i unnaturally small its just how it has to be when up a spic,0
1107,u look like a retard,1
1108,barry on a recent trip to an african shithole country wanted to try on some of his family's traditional clothing ,0
1110,like father like son happy birthday mon negro et mon filleulgodbless your fam' ,0
1111, scarlett johansson walked up to me called me a faggot and walked away then she called my personal cell ,1
1112,blunt and cunt rhyme for a reason bitch,1
1113,  and for the record no muslims or other immigrants from shithole countries or otherwise w ,1
1117,you've never been a twat,0
1119,   apparently trump was talking about america when he made the shithole countries comment ,1
1120, ah a weak northern twat yep that would make sense if you weren't americannhave a nice evening little'un,0
1123,black metal poetry of the daynni saw the virgin's cunt spawning forth the snakenni witnessed tribes of judah reduc ,1
1124,he a mama trump republican you moronic twat,1
1126,   that tweet is from the 14th december when allardyce was our manager you mongoloid,0
1129,have robots is a fucked retard,1
1130,my camera quality on snap retarded before i take it its cool but when the photo actually comes out its trash,0
1133,zip it ahead,0
1136,i just wish i wasn't so retarded looking i probably wouldn't be here if i had friends in real life it would be a nice life,1
1138,fuck you negro,1
1142,drink special todayhillbilly blood bath 3 also prime rib dinner specials all daytaco chili is the soup to ,0
1146,its not just the use of faggot that upsets me even if em is almost 50 and should know better and h,1
1149,as a great patriot mentioned in another twattle could have easily gone to any us embay,0
1151,ism not black but i am or some called me spic in school had to ask my dad what it was he spoke,0
1154,my spic is gangsta,1
1155,anyone else on here just been harping as a retard this whole time hah right guys,0
1156,do you think this illegitimareregime gives a damn about people from shithole countries they don't give a damn ab ,0
1157,you a faggot,1
1160,most retardedurl,1
1164,me ill have you know ism half nigger and cracker bitch,1
1169,i can call myself a faggot and granny if i want to cameroon and so can ai because we both trains and gay,1
1173,this dude really a faggot,0
1174,they gonna tell you spic,1
1178,you're so pathetic how can you bully a child and then have the nerve to try and call me retarded some,1
1179,you a faggot like your daughter lot,0
1180,i would followed him all the way home and kicked his faggot ass,0
1183,i a spic that is making you choose between two dead people wanna gotta die never,0
1188,could you please send links,0
1189,i don like the word dyke or faggot,1
1190,    and how that work exactly for refugees fromcountries ,0
1191,this cunt,1
1193,i think these hoes really retarded man,1
1195,i don like anyone calling my son a retard,0
1200,this one guy called this girl a spic and i was gonna fucking swing,1
1207,oopsie caravan is a mass exodus from shithole countriesnnurl,0
1208,well there is ya go another ahead freak these people gotta go who in the hell would vote for her she looks evil,1
1211,i have never lost a phone to such a retarded sendoff don't worry i am baffled at the people i know we,1
1213,i feel edgy saying retard every 2 seconds but it's been integrated so deeply into my vocabulary i can't help it,0
1214, daft bintnnlike all ardent leftists she'll suck up to anything no matter how much it violates her loft ,1
1219,heryou must be retarded if you think we fuckingnnmeurl,1
1220,     guess what ragheadtrump is your president ,1
1221,the united states has become a shithole country and we can thank trump and all his deplorables,0
1222,reed is heavy and old negro gospel sigh,0
1228,thing thong pro i agree,0
1229,rope has enough illegal immigrants we don't need a saran pain too sorry,0
1231,come and serve a young aplha faggotskype is open danaillazarus findom cocky rt rtgame paypig ,0
1232,caught this guy trying to stare me down just now smug twat,0
1233,your brother is a faggot ass coward,1
1234,my 65 year old uncle went out to celebrate his granddaughters birthday last night and got so mongy he broke his nose ahahah,0
1235,    are you saying that nauru is a shithole are you criticizing ,0
1236,yes in fact we might be calling themcountries ,1
1237,what your point i said they have tried to qualify for it same mongol as always,1
1238, that's why trump called them shithole 3rd world countries wonder why,1
1240,uncle 45 could you send that wife of yours and her parents back to whatever shithole country they came from,0
1242,if one more person calls me chink chunky thing thong i going to kick his balls,0
1245,sorry don't speak ping pong thing thong sushi thong,1
1246,deaf nigger wine,1
1247,filipinos do bad things just because of inggituh crazy mongoloid abnormalnwhy did you touch thief my ,1
1251,oh fuck off you stupid cunt,1
1252,next job is to cut the welfare to all illegal aliens,1
1257,why do some gays think being mass amp hating feds makes them better than the other gays like the world is still gonna see u as a faggot,1
1258,if you still playing fortunate your a faggot,0
1259,african migrants crossing the mediterranean now head to spain after italy’s blockade  via ,0
1261,calls for expanding opportunities for legal immigrants yes we need to do that but the process to be,0
1262,best tweet of all time fuck all spic countries,1
1264,you could just admit to being a twat that would probably be enough for the next leader of the snap,1
1267,french german and punish ads are annoying but this tops it all to twitter i don't speak no thing thong,0
