,tweet,Hate_Speech,translated_tweet
26,['his act like a nigger rant is what showed pine tree state helium was an idiot mountain'],0,tindakannya -kata kasar negro pinus pohon state helium gunung idiot
27,robot bower is a leftist terrorist,0,Robot Bower teroris kiri
28,bolivia you fucking retard everybody saw that video already we,1,bolivia -benar retard orang video
29,go follow this retard,1,ikuti retard
30,i got banned once because i called designer a retard,1,Saya dilarang menyebut desainer retard
31,still surprised this retard became president,1,Masih terkejut retard presiden
32,he's right lets kick every alright retard in a balls got nothing to do with anything free shot,1,mari tendang retard bola hubungannya tembakan gratis
33,you females look retarded when you keep taking back the same night who clearly does want you,1,Anda wanita terbelakang Anda mengambil malam Anda
34,['i so set dealing with little cunt develop a fucking pair cunt'],0,Saya berurusan vagina mengembangkan vagina pasangan sialan
35,i'll donate a fiver if you call  a tory hating cunt standuptocancer ,1,Saya menyumbangkan fiver Anda menelepon tory membenci vagina standuptocancer
36,if it comes out of his mouth it either retarded or has aids,1,Jika mulutnya terbelakang memiliki AIDS
37,i want out of this shithole country,1,Saya negara shithole
38,['i scarcely saw a dyke that look like trygve halvden lie boogie woogie she be kinda fine though'],0,Saya seekor tanggul Trygve Halvden Lie boogie woogie
39,i cant tell if bonnie here is actually retarded or if shes just pretending,1,Saya Bonnie -benar terbelakang berpura -pura
40,you actively enjoy being a dim witted mongoloid,1,Anda aktif menikmati mongoloid redup
41,feed the twat to the lions,1,makan twat singa
42,all this dyke was trona bag me at palmar while i put my groceries in the car but she ain't help wit the heavy a,0,Semua tanggul Trona Bag Me at Palmar menaruh bahan makanan mobil membantu berat a
43,thing thing thong toolbox oh i got my couture money,0,Thing Thing Thing Thong Toolbox oh uang couture
44,interestingly vanes berley mostly tweets vanes berley like most narcissistic conspiracy theories,0,Menariknya Vanes Berley kebanyakan tweet vanes Berley kebanyakan teori konspirasi narsisistik
45,  tattie howker though aw thattaker patter is absolutely tragic,0,Tattie Howker Aw Thattaker Patter -benar tragis
46,credit this cunt is tricking us to come back and strap vests on herself and probably kids to and blow us up f,1,kredit vagina menipu mengikat rompi anak -anak meledakkan f
47,“go back to your country beaner lmaoo” ,1,“ Kembali Country Beaner LMAOO ”
48,u wanna go u fucking cunt,1,pergi u sialan
49,no illegal aliens should be voting in our elections,1,Tidak alien ilegal suara pemilihan
50,mom bought me a faggot,1,Ibu membelikanku homo
51,"[""forget me drug has enough illegal immigrant we don ' t need a saran pain in the ass too sorry""]",0,Lupakan obat memiliki imigran ilegal disukai Saran
52,shut nigger,1,Tutup negro
53,"[""it ' s ok to exist bloodless""]",0,Tidak -apa darah
54,sos nearly called a woman a cunt while i was driving with mum in the car but can i say i still shaking with rage at this cunt,1,Sos menyebut wanita vagina mengemudi mobil dapatkah gemetar vagina
55,say chink gook chainman thing thong up allowed to,1,Katakanlah Chain Gook Chainman Thing Thong Up Diizinkan
56,"[""' humanist pinch ' doctors demand refugee be moved off naurusbs tidings via""]",0,Dokter Humanist Pinch menuntut pengungsi dipindahkan naurusbs berita
57,look at this retarded fuckstick ,0,Lihatlah fuckstick terbelakang
58,she retarded your honor,1,Dia memperlambat Yang Mulia
59,no lie just said hasn't everybody seen the twat shot,0,bohong orang tembakan twat
60,as a member of the negro delegation we are hurt and sickened by this loss,0,Sebagai anggota Delegasi Negro terluka sakit kehilangan
61,['what the fuck does spic and span intend and how comprise it nauseating'],0,What the Fuck Do Spic Span Niat Dan Bagaimana Komprisinya Mual
62, you're a low iq ghanese enjoy your shithole country built and kept by you geniuses,1,Anda Ghana IQ rendah menikmati negara shithole Anda dibangun disimpan Anda jenius
63,i typing too slow now i seem like a retard,1,Saya mengetik lambat retard
64,let a scorpion bag me cut i freaking retarded,0,Biarkan tas kalajengking potong terbelakang
65,hetero guy faggot bet you wanna suck my dick name,0,hetero guy fagot taruhan Anda mengisap nama penis
66,nyala said side night calling n i told him i was its she just retarded,1,Nyala Side Night Calling n Saya terbelakang
67,   and leftist fanatics did tooantifa is another terrorist organization,0,Dan fanatik kiri Tyantifa organisasi teroris
68,['trend aid to the shithole countries might smarten them up'],0,Bantuan tren negara -negara shithole pintar
69,defining countries as shithole encouraging reporters to be slapped around groping women because of your celebri ,0,Negara -negara menentukan shithole mendorong wartawan ditampar wanita meraba -raba celebri Anda
70,you retarded i did know they make people this stupid might want to kill yourself before you drop the collect,1,Anda terbelakang orang bodoh bunuh Anda menjatuhkan koleksi
71,   i lose to mongoloid playstyles smh gonna trash you with m2 again today,1,Aku kalah Mongoloid PlayStyles Smh membuangmu M2
72,went passed that fancy dress shop at outside n there actual fucking bouncers outside ya cunt imagine being kb,0,pergi toko pakaian mewah penjaga sialan ya cunt bayangkan kb
73,i see in brown has handed your are on a plate annas you were ya plastic man twat,1,Saya warna coklat menyerahkan Anda piring annas Anda ya pria plastik twat
74,mf smoking that retard pack by the o,1,MF merokok retard pack o
75,['if you white and wanna dress as a spic for hallowed break down ahead i can give two dump veridical pelicans bequeath just laugh'],0,Jika Anda putih berpakaian spic for Hallowed Break Down Depan pelikan veridikal tertawa
76,maybe the applies are right you are a field nigger,1,Mungkin berlaku Anda negro lapangan
77,dirty new,1,Kotor Baru
78,next job is to cut the welfare to all illegal aliens,1,Pekerjaan memotong kesejahteraan alien ilegal
79,  lmaoooo the armo spic,1,lmaoooo the armo spic
80,it men created the out of africa theory marcs garvey was an agent funded and schooled by it so called news,0,pria menciptakan teori augara Marcs Garvey agen didanai dididik berita
81,leftists stop sending me gift of some movie reference i don't get of some twat shrugging their shoulders why don't,1,Kaum kiri berhenti mengirimi hadiah referensi film dapatkan twat mengangkat bahu
82,who is thing thong is he a ploy for the avian market,1,Siapakah taktik pasar unggas
83,he look like he said some faggot shit like at,1,fagot
84,100 looks like it would tell you to go back to your country,1,100 memberitahu Anda negara Anda
85,as i read some of these tweets i can help to think of this great quote from this great man in lie bitches retarded,0,Ketika membaca tweet membantu memikirkan kutipan hebat pria hebat kebohongan terbelakang
86,first class money cunt me when i think back to decisions have made in the past,1,Uang kelas macet memikirkan keputusan
87,nah he a dyke,1,seekor tanggul
88,fuck that orange twat,0,bercinta oranye twat
89,['ism fucking mad that i made my life choices sorry and ism now a fat cretin world health organization is socially clumsy when let the cat out of the bag to unit'],0,ism fucking mad pilihan hidup maaf organisasi kesehatan dunia kretin gemuk kikuk sosial membiarkan kucing tas unit
90,['if you still playing fortunate your a pouf'],0,Jika Anda bermain beruntung Anda pouf
91,help my nigger help a nigger help anger,1,Bantu negro membantu negro membantu kemarahan
92,why did kim kardashian just tweet pics of boobies with no areola and a twat with no clit on my timeline,0,Mengapa Kim Kardashian tweet foto boobies areola twat klitoris timeline
93,struggling whether to feel sorry for americans for electing a retard to lead the countrynnfor all you sensitive ,1,Berjuang kasihan orang Amerika memilih retard memimpin negara Anda sensitif
94,having lived the is growing up as a skater using derogatory terms like fag and faggot accurately or inaccurate,0,hidup tumbuh skater istilah menghina fag fagot akurat akurat
95,don count on it californians are pretty retarded ,1,Jangan mengandalkannya orang California terbelakang
96,literally just heard a co worker cuss out her boyfriend on the phone calling himretard and a fat fuck like tak ,1,Secara harfiah mendengar pekerja rekan kerja menumpahkan pacarnya telepon memanggilnya bercinta gendut
97,it is indianarmy and not hinduforcesif hindus had forces kashmiripandit wouldn’t have been refugees amp… ,0,Ini Indianarmy orang Hinduforces umat Hindu memiliki kekuatan Kashmiripandit pengungsi amp ...
98,sorry your question was too retarded for me to answer,1,Maaf Anda terbelakang
99,moreen with a few snacks returns to the room to find everything spic and span including her clothes a,0,Lebih makanan ringan kamar menemukan spic rentang pakaiannya a
100,if a teacher is quoting someone in a historical or literary context and that context uses the word prefer,0,Jika guru mengutip konteks historis sastra konteks disukai
101,['i just wanna tell dyke chirrup is the funniest'],0,Saya Dyke Chirrup lucu
102,['my nigger lion heart i wish well you god forward ever backwards ward never man maine say'],0,Hati Nigger Lion berharap Anda -baik Main Forward Ward Never Man Maine Say
103,bantering a cunt,0,olok -olok vagina
104,"[""yeah but present if you therefore much as make eye contact with a feminacy she ' s gonna accuse you of rape""]",0,Ya hadir Anda kontak mata feminasi menuduh Anda pemerkosaan
105,anyone else on here just been harping as a retard this whole time hah right guys,0,orang mengomel retard hah guys
106,did you know that being a complete fucking twat to people who work retail can take years off your life,0,Tahukah Anda twat lengkap orang -orang ritel mengambil hidup Anda
107,it took 18 innings and and a retard to cost me my sweep bet but somehow they got me worldseriesgame3,0,Butuh 18 inning retard taruhan sapuan WorldSeriesGame3
108,feminacy fake news,0,Berita palsu feminasi
109,of i roasted a thing thong girl now,0,memanggang gadis thong
110,what's a mongoloid,0,Apa Mongoloid
111,['lobo fight like an actual retard'],0,Lobo Fight Seperti Retard
112,meanwhile the leftist globalist monsters are trying to blame this hate crime on trump too don't you know every,0,Sementara monster global kiri berusaha menyalahkan kejahatan rasial Trump Anda
113,as always we pray for world peace and for those trying to resolve the issues surrounding migrants and refugees,0,Seperti berdoa perdamaian dunia mencoba menyelesaikan migran pengungsi
114,us you a mongol,0,Kami Anda Mongol
115,['might scarcely convinced mum to elevate to non bonk finally cunt'],0,menaikkan non bonk cunt
116,woman is adult human female is the terms version of it's okay to be white,0,Wanita wanita dewasa versi istilah -apa putih
117,  i am a south african living in my native country a shithole according to trump so i don't lik ,0,Saya orang Afrika Selatan tinggal negara shithole Trump suka
118,just imagine a president without simple academic qualifications see this country is a shithole no lies,1,Bayangkan presiden kualifikasi akademik sederhana lihat negara kebohongan kebohongan
119,african migrants crossing the mediterranean now head to spain after italy’s blockade  via ,0,Migran Afrika melintasi Mediterania Spanyol blokade Italia
120,old guy bangs young twat,1,pria tua poni muda twat
121,what happens when a white person checks him and calls him a spiclike who or what will he turn to ,0,Apa orang kulit putih memeriksanya memanggilnya tuju
122,  take your ucl l and stop worrying about things hazijafikaati ooh washed up veteran ooh ching chong fucken,1,Ambil UCL L Anda berhentilah mengkhawatirkan -hal hazijafikaati ooh dicuci veteran ooh ching chong fucken
123,we encountered the words “ching chong” amp “massieren” presumably coz we were a bunch of asians these from non asia… ,1,Kami menemukan -kata Ching Chong amp Massieren sekelompok orang Asia non Asia ...
124,['equal you due stupid or retarded mill vanilla mafia say make big drive me popping stop trona make up me scarcely stop'],0,Equal you bodoh terbelakang mafia vanilla mafia bilang drive berhenti trona berhenti
125, because with out the illegal aliens voting they demsloose power,1,alien ilegal suara kehilangan kekuatan
126,     guess what ragheadtrump is your president ,1,Coba tebak RagHeadTrump presiden Anda
127,all exams passed at collage now thank fuck never have to go into that money place again cheeky pay rise just before,1,Semua ujian lulus perguruan terima kasih pergi uang -lagi kenaikan gaji
128,i just stared at the fucking door to target like a fucking retard because i thought it was automatic,0,Aku menatap pintu sialan target retard sialan kupikir otomatis
129,['my nigger lion meat i wish you god forward ever back ward never humankind me state'],0,Daging Singa Nigger berharap Anda maju Never Humankind Me State
130,biggest talking bout is valley queen is an awful presenter kris commons is a soup take,0,Pertarungan pembicaraan terbesar Valley Queen presenter mengerikan Kris Commons Soup Take
131, i love you sexyyyy,0,mencintaimu seksiyyy
132,the dodgers manager is an absolute retard,1,Manajer Dodgers penghambat mutlak
133,remember to drinkgamble responsibly otherwise you end up like this twaturl,1,Ingatlah minum bertanggung Anda twaturl
134,i predicted that joke before you even made it get some good material you fucking mongoloid,1,Saya meramalkan lelucon Anda membuatnya materi Anda sialan mongoloid
135,not true they care about illegal aliens and museums anyone but america,1,peduli alien ilegal museum kecuali Amerika
136,don't touch that scarf that's pal smith twat,1,Jangan menyentuh syal sobat twat
137,['dell be a better we than hop he only has a mongoloid qi holding back his production'],0,Dell Be Better We Than Hop Dia memiliki Qi Mongoloid menahan produksinya
138,clearly a drunk twat but hearing one of the kids distraught saying not as their dad punches him,0,Jelas twat mabuk mendengar salah anak -anak bingung ayah meninju
139, harry i’m moving to london tuesday 25th so you are welcome to go back to your country around that day or a few… ,1,Harry Saya pindah London Selasa -25 Anda dipersilakan negara Anda ...
140,happy birthday negro,0,Selamat ulang Negro
141,u look like a retard,1,retard
142,some mongoloid ordered 9 dozen donuts by 8 am then called back to see if we sell craft coffee,1,Beberapa mongoloid memesan 9 lusin donat jam 8 pagi menelepon menjual kopi kerajinan
143, when youn lead chants of 'lock her up'n demonize refugees from 'shithole countries'n mock the ,1,Ketika nyanyian pimpinan mengunci mendemonstrasikan pengungsi negara -negara shithole
144,nights be getting beat up by their dukes dyke girlfriend saying she got too much testosterone,1,Malam dipukuli pacar Dukes Dyke testosteron
145,['i a snatch wen i ready lucy in the sky with diamonds test me'],0,I A Snatch Wen I Ready Lucy in the Sky With Diamonds Test Me
146,i got a avian bitch she be like thing thong,1,Aku burung jalang thong thong
147, america is a shithole country with no morals,0,Amerika negara shithole moral
148,i mean this in the most platonic dyke way but,0,Maksud tanggul platonis
149,why are illegal aliens allowed to have mobile phones,1,Mengapa alien ilegal diizinkan memiliki ponsel
150,chuck person eccojam a1  opn toto  venue to play africa by toto on… ,1,Chuck Person Eccojam A1 Opn Toto Venue Untuk Bermain Afrika Toto di…
151,"[""portland cary grant 500k for immigrant ' attorneyfees""]",0,Portland Cary Grant 500k biaya pengacara
152,i will whoop your ass even if you remake that faggot this,1,Saya menghirup pantat Anda Anda ulang hanyut
153,of faggot,1,homo
154,this negro betta keep his shirt on this whole episode htgawm,0,Betta negro menyimpan bajunya episode htgawm
155,['seems so singular that good of would go any where nears such a extremist leftist in 1995 give the fact layers'],0,Tampaknya tunggal Good of pergi mendekati kiri ekstremis 1995 lapisan fakta
156,wait i racist shut up nigger,1,tunggu rasis diam negro
157,only the looneyleftys can answer the last question despicabledemocrats hollywoodhasbeens hollywoodhypocrites ,0,Hanya looneyleftys DespicableDemocrat hollywoodhasbeens hollywoodhypocrites
158,bombings shootings a president with the mental capacity of a flea the united states is clearly the real shithole country,1,Penembakan Pemboman Seorang presiden kapasitas mental kutu Amerika Serikat negara shithole
159,broi tweeted it out before he was caught border line retard conned by fedsnnurl,0,Broi tweeted tertangkap basah retard dikutuk fedsnnurl
160,this should encourage y to do your work by yourselvesyour guy is retarded and can do bad things anytime he wishes,1,Ini mendorong y pekerjaan Anda
161,unreal tweeted by a ahead in disguise,0,Tweet nyata A menyamar
162,  cameroun is a condemned shithole country ruled only by vegetables and intellectually defunct minds,0,Cameroun negara shithole dikutuk diperintah sayuran pikiran berfungsi intelektual
163,newprofilepic ching chong 100 ,0,NewProfilepic Ching Chong 100
164,this is a retarded question but what's the pikeman in your avatar,0,Ini terbelakang pikeman avatar Anda
165, is the good name of manchester utd full fume from hairy hands  the mongy burk,1,nama Fume Fume Manchester Utd tangan berbulu The Mongy Burk
166,nobody likes thing thong group,1,suka kelompok thong
167,['should experience known it would live long until some soft cunt would be appal by this'],0,mengalami hidup vagina lunak ditetapkan
168,i literally seen the video you fucking retard i closed it did laugh and moved on,1,Saya -benar video Anda retard tutup tertawa pindah
169,fiasco sounds like a fucking mongoloid out there going through his snap count,1,kegagalan terdengar mongoloid sialan snap -nya
170,"[""macron can ' t you see your own country ' s sinking feeling into a shithole your trying to live merkel no cunts concerned in you""]",0,Macron Anda perasaan tenggelam negara Anda kumuh Anda mencoba hidup merkel cunts peduli Anda
171,christian are so retarded,0,Kristen terbelakang
172,i think ism broken but ism not did rather not be a petty twat come to think of it it'd love to talk maybe get som,0,Saya pikir ism rusak ism suka twat memikirkannya senang berbicara som
173,did anyone actually believe him after just 24 hours of contemplation the faggot had already changed his mind it,0,Apakah -benar mempercayainya 24 jam kontemplasi homo mengubah pikirannya
174,i am from savannah been catching charges since 13 negro,0,Saya Savannah menangkap tuduhan 13 Negro
175, it's decided by race so indians carry caucasoid australoid and mongoloid races and so do the intermedi ,1,Diputuskan ras orang India membawa ras Australoid Mongoloid Kaukasoid perantara
176,palabek refugee settlement centrelamwo district is host to 31173 south sudanese refugees uganda,0,Palabek Penyelesaian Penyelesaian Pusat Distrik Tuan Rumah Tuan Rumah 31173 Pengungsi Sudan Selatan Uganda
177,trump follower nim not shit's you one damn bit forest trump is get's rid of them stogie ahead reporter t,1,Trump Follower Nim Not Shits You One Damn Bit Forest Trump Singkirkan Mereka Stogie Stogie Ahead Reporter T
178,in a way i think trump himself would be too retarded to work for cutin lot,1,Di sisi pikir Trump terbelakang cutin lot
179,that starving faggot and his starving faggot dad thought me myself and i and my am where playing a games son,1,Fagot kelaparan ayahnya kelaparan kelaparan memikirkan
180,lobatan and waec can't reissue another one this country is indeed a shithole ,0,Lobatan Waec menerbitkan negara shithole
181,no negro plus u know u negro one say,1,negro plus negro
182,betsy devos hinders shithole countries,1,Betsy DeVos menghambat negara -negara shithole
183, never said you did deny it you retard it in case you did as i know you are deludednif you can twee ,1,Anda menyangkal Anda memperlambatnya Anda melakukannya Anda tertipu Anda twee
184,cancel still bounces that big mongoloid about,1,Batalkan memantul mongoloid
185, eurafrica had a trial run in south africa and rhodesia,0,Eurafrica menjalani uji coba Afrika Selatan Rhodesia
186, family guy holds no bars with stuff they sayracist sexist the lot will never change because some ugly cunt complains about it,0,Family Guy memiliki bar barang -barang rasis seksis berubah vagina jelek mengeluh
187,english is a soup taker,0,Bahasa Inggris pengambil sup
188,this baby just called me a spic,1,Bayi memanggilku spic
189,"[""yep that ' s the quid pro duo for peters supporting more refugees""]",0,Ya quid pro duo peter mendukung pengungsi
190,   those toddlers are illegal aliens whose parents broke the lawdummy you left out “white guy”,1,Balita alien ilegal orang tuanya memecahkan lawdummy Anda tinggalkan orang kulit putih
191,that's the point nigger,1,intinya negro
192,titan said reply to her text nigger,1,Titan balasan negro teksnya
193,i ate mine hah get it us thing thong,0,Saya makan milik hah mengerti
194,we are not the greatest country in the world we have become the shithole it breaks my heart every day vote ,0,Kami negara terhebat dunia shithole menghancurkan hati
195,i second that proper money,1,Saya mendukung uang
196,it's okay to be white,0,Tidak -apa putih
197,imagine getting called retarded by the president on twitter,0,Bayangkan dipanggil terbelakang presiden Twitter
198,it's okay to be white chocolate chip,1,Tidak -apa chip cokelat putih
199,wanna be spic,1,Ingin SPIC
200,i a mother firstthen a crazy retarded ass bitch right after that ,0,Ibu kali pelacur pantat terbelakang gila
201,bop got brought in arc identified 40 lakh illegal immigrants admit shah,0,Bop dibawa busur diidentifikasi 40 lakh imigran ilegal mengakui shah
202,calling wiz a one hit wonder means you a retard,0,Memanggil wiz keajaiban hit Anda retard
203,['twitter war i here to country facts u horrible bitch now u represent fair sex beaters if u want u don cubic decimeter'],0,Twitter War I Here To Country Facts U Bitch Horrible mewakili pemukul seks adil desimeter kubik
204,real spic move,1,Langkah spic nyata
205,   so they're only really bypassing one country then indonesia which is a shithole ,1,Jadi -benar melewati negara Indonesia shithole
206,mu general studies is the most retarded module to ever exist like why is it even compulsory,0,Studi Umum MU modul terbelakang wajib
207,it's our hallowed party shit thing tonight i wasn't going to to comment because i think it's retarded but then,0,Ini suci malam berkomentar pikir terbelakang
208,deport the ahead,1,Deport
209, disease ridden illiterate pigs we don't want them turning the us into a shithole like the countries ,1,Penyakit Ridden Big Babi Kami Tidak Ingin Mereka Mengubah AS Menjadi Shithole Seperti Negara
210,oh nice a mob of angry feminacy and other democratic women they can't stand a decent conservative,1,oh bagus gerombolan feminasi marah wanita demokratis tahan konservatif layak
211,come and serve a young aplha faggotskype is open danaillazarus findom cocky rt rtgame paypig ,0,Datang sajikan applha muda faggotskype terbuka danaillazarus findom cocky rt rtgame paypig
212,    en quoi parler de nombre de migrants devient une statistique ethnique on… ,0,Bagaimana berbicara migran statistik etnis ...
213,catch these hands at the overmatch meet retard,0,Tangkap tangan Overmatch Meet Retard
214,['witch moslem country is not a shithole cricket'],0,Negara Muslim kriket shithole
215,white girl on my bus“it’s okayi didn’t say nigger it’s not offen…,0,Gadis kulit putih bus Tidak -apa negro offen ...
216,feminacy sorry i know not all feminists are crazy,0,feminasi maaf feminis gila
217,migration 59 en favor does migrants de palais via,0,Migrasi 59 mendukung iuran migran istana
218,['etesvous viosterol ’ treaty avec bernard kouchner qui dit que « nous devrions prendre positive de migrants »'],0,Are You Viosterol Perjanjian Bernard Kouchner mengambil positif migran
219,tom zanetti you a faggot and i clear the dance floor any time your song comes on lad,0,Tom Zanetti Anda homo membersihkan lantai dansa lagu Anda anak laki -laki
220,this picture called me a faggot and then said no homo,1,gambar memanggil homo homo
221,"[""litre ' aquarius cherche un port stream accoster avec xi migrants libyens via""]",0,Liter Aquarius mencari aliran port berlabuh migran Xi Libya via
222,answer the question an i home u spic,1,Jawab rumah u spic
223,uh i think that how he was killed withstand can trust a ahead as far as i a,0,eh berpikir terbunuh bertahan mempercayai a
224,spic,0,orang Amerika Latin
225,['faggot fucking sellout no i pebble mastermind autistic hussy'],0,Fagot fucking no no I Pebble Mastermind Autistic Hussy
226,timer starts faggot,1,Pengatur homo
227, lmaoooooo i do love how ppls excuse isrep is vague like oh my god thats literally chinese coded maybe mongol but ok,1,lmaooooo menyukai orang memaafkan isrep oh my god harfiah kode Cina mongol oke
228,['iodine hump being faggot'],0,Iodine Hump fagot
229,them whites probably look at the situation like dance nigger dance,0,orang kulit putih situasi tarian negro dansa
230,maybe i just retarded,1,Mungkin terbelakang
231,i cant believe people are so retarded,0,Saya percaya orang terbelakang
232,well they have a job their job is being an activist and an ally to immigrants and the lgbtq community,0,Yah memiliki pekerjaan pekerjaan aktivis sekutu imigran komunitas LGBTQ
233,using the wording any form is a great way to make me lose a huge amount of respect for you,1,Menggunakan -kata bentuk bagus kehilangan hormat Anda
234,being bong thing thong look i avian lot,1,Menjadi Bong Thing Thong Look I Avian Lot
235,['the help cost lose the battle and presently the state of war our descent into a shithole country is gain momentum'],0,Biaya bantuan kehilangan pertempuran perang keturunan negara shithole momentum momentum
236,the twat in the white house,0,twat Gedung Putih
237,i have 1 box of pencil mongol no2 in my pencil case na may blessing ng holy water from quiapost jude,0,Saya memiliki 1 kotak pensil Mongol no2 pensil memberkati air suci quiapost jude
238,l'aquarius cherche un port pour accoster avec 11 migrants libyens  via ,0,Aquarius mencari pelabuhan berlabuh 11 migran Libya
239,eh you're a faggot no one cares about you,1,Eh Anda homo peduli Anda
240,my only regret is that i wasn't there to beat the shit out of those feminazi's well it looks like alisonhrabar is… ,1,Satu -satunya penyesalan mengalahkan omong kosong sumur feminazi Alisonhrabar ...
241,damn i got called a nigger today,0,Sialan dipanggil negro
242,leave up wildlife alone and go back to where you come from and kill your own animals amp wildlife,0,Tinggalkan satwa liar Anda berasal bunuh hewan Anda amp satwa liar
243,['dude i saying it both you do prove me incorrect you defecate yourself calculate retarded eye the khaki is why helium'],0,Bung Anda membuktikan salah Anda buang air menghitung mata terbelakang khaki alasannya helium
244,this man is fucking retarded and needs mental evaluation have never seen someone to obsessively hateful towards a,1,Pria -benar terbelakang evaluasi mental obsesif membenci
245,['i cant think citizenry are so retarded'],0,Saya berpikir warga negara terbelakang
246,you retard,1,bodoh
247,these maga assholes have turned america into a shithole country,1,bajingan maga mengubah Amerika negara shithole
248,it wasn't going in your blind twat and roof couldn't get his chest or leg to it so he just used h,1,twat buta Anda atap dada kakinya h
249,the ahead problem in inland hows those terrorist attacks,1,Masalah pedalaman serangan teroris
250, theres a difference between nigger and niggathe former is rascist the later is a shout out to da home bohz,0,perbedaan negro niggathe mantan rascist teriakan rumah bohz
251,can't say you're acting more mature then call me a sad retard you'll learn one day boss alpha,1,Tidak Anda bertindak dewasa panggil penghambat sedih Anda belajar bos alpha
252,kana ne one we nigger,1,kana ne negro
253,i done punched a bitch in the face for calling so a spic n he don't even play the race card,0,Saya selesai meninju wajah perempuan menelepon spic n memainkan kartu balap
254,do thing thong live in other dimension,0,Lakukan Thing Thong hidup dimensi
255,you don't have enough gook in you to thing thong me that badly,0,Anda memiliki gook Anda buruk
256,i support crackdown on illegal immigrants for numerous reasons but a wall won't stop any,1,Saya mendukung tindakan keras imigran ilegal alasan dinding berhenti
257,tranquil pe mongol come,1,Mongol tenang
258,yes in fact we might be calling themcountries ,1,ya memanggil .
259,spic,1,orang Amerika Latin
260,amaze them with your thing thong and we'll finish the bingo faster,1,kagum thong Anda menyelesaikan bingo cepat
261,bakugan was a spic from my picture,1,Bakugan spic fotoku
262,['feature robots bear brought us to back to back mankind serial he acted corresponding an absolute retard tonight but we should fire him'],0,Fitur Robot Bear membawa Serial umat manusia bertindak sesuai penghambatan absolut malam memecatnya
263,you live in a economical third world shithole with murderous out of control drug cartels running it where your ci ,1,Anda tinggal Dunia Ketiga ekonomis pembunuhan kendali kartel narkoba menjalankannya CI Anda
264,so damn retarded,1,terbelakang
265,are you some yoga book chainman,1,Apakah Anda rantai buku yoga
266,me getting called faggot on my walk home,1,Saya homo jalan pulang
267,please go back to your country disgraceful to start campaign against honest am uphill now,1,Silakan negara Anda memalukan kampanye melawan jujur ​​saya menanjak
268, haiti is listed as the second worse place to travel to so that is a shithole and he wasn't talking ,0,Haiti terdaftar buruk bepergian shithole berbicara
269,you be losing your teeth today contour address is everywhere what a,1,Anda kehilangan gigi alamat kontur -mana a
270, most of us have no desire to learn shithole country languages french is unpopular with teachers bec ,1,Sebagian memiliki belajar bahasa negara shithole bahasa Prancis populer guru
271, spot onchrisanything for a reaction suttonhe not quite a souptaker yet but g ,0,Spot Onchrisanything reaksi Suttonhe Belum Sooptaker g
